season,gw,ennovera_pts,baseline_pts_form,baseline_xgi_pts,baseline_price_pts,hindsight_oracle_pts,squad_regret
2022-23,1,27,21,25,43,148,121
2022-23,2,56,21,60,83,162,106
2022-23,3,61,57,57,61,150,89
2022-23,4,35,58,42,60,168,133
2022-23,5,46,60,31,68,131,85
2022-23,6,27,49,23,63,153,126
2022-23,8,61,52,42,77,141,80
2022-23,9,36,68,36,79,183,147
2022-23,10,52,49,41,69,148,96
2022-23,11,51,41,51,65,132,81
2022-23,12,75,44,57,36,125,50
2022-23,13,62,55,67,36,144,82
2022-23,14,38,38,42,45,156,118
2022-23,15,73,57,58,76,148,75
2022-23,16,52,55,93,33,148,96
2022-23,17,73,72,36,51,153,80
2022-23,18,48,53,60,37,127,79
2022-23,19,60,62,66,38,143,83
2022-23,20,67,66,78,34,152,85
2022-23,21,79,55,66,49,139,60
2022-23,22,55,36,55,41,148,93
2022-23,23,45,50,37,41,132,87
2022-23,24,36,73,22,51,143,107
2022-23,25,35,51,44,40,155,120
2022-23,26,27,41,48,40,169,142
2022-23,27,39,34,43,62,137,98
2022-23,28,34,57,33,54,136,102
2022-23,29,59,41,39,55,147,88
2022-23,30,65,60,49,49,137,72
2022-23,31,54,62,74,51,162,108
2022-23,32,62,59,51,40,142,80
2022-23,33,50,50,53,58,159,109
2022-23,34,55,47,61,55,158,103
2022-23,35,48,48,41,70,165,117
2022-23,36,56,84,61,53,170,114
2022-23,37,31,40,28,35,142,111
2022-23,38,38,53,28,84,155,117
2023-24,1,28,28,28,39,141,113
2023-24,2,45,46,64,43,147,102
2023-24,3,43,45,44,53,160,117
2023-24,4,56,64,59,61,162,106
2023-24,5,37,43,31,44,122,85
2023-24,6,66,58,66,62,158,92
2023-24,7,47,47,38,81,166,119
2023-24,8,26,57,26,40,152,126
2023-24,9,67,71,74,89,154,87
2023-24,10,54,45,57,57,149,95
2023-24,11,51,23,45,25,172,121
2023-24,12,58,56,60,66,156,98
2023-24,13,46,44,48,46,145,99
2023-24,14,52,54,71,50,141,89
2023-24,15,46,31,41,42,159,113
2023-24,16,56,43,39,32,148,92
2023-24,17,47,40,43,53,154,107
2023-24,18,67,49,67,52,134,67
2023-24,19,46,43,45,41,155,109
2023-24,20,57,55,41,82,161,104
2023-24,21,29,29,35,62,151,122
2023-24,22,64,41,73,58,174,110
2023-24,23,51,39,65,82,174,123
2023-24,24,69,45,58,55,158,89
2023-24,25,75,74,53,72,149,74
2023-24,26,70,64,62,52,160,90
2023-24,27,65,80,58,63,153,88
2023-24,28,27,38,39,38,144,117
2023-24,29,44,27,43,46,109,65
2023-24,30,46,45,51,47,158,112
2023-24,31,86,81,94,60,155,69
2023-24,32,50,44,50,56,144,94
2023-24,33,82,76,86,44,187,105
2023-24,34,58,101,50,63,183,125
2023-24,35,60,49,61,42,154,94
2023-24,36,68,56,59,58,179,111
2023-24,37,50,73,56,35,156,106
2023-24,38,55,42,52,64,185,130
2024-25,1,51,49,46,72,131,80
2024-25,2,80,46,72,93,170,90
2024-25,3,82,75,62,91,142,60
2024-25,4,64,26,56,41,148,84
2024-25,5,72,72,66,55,139,67
2024-25,6,32,28,33,51,163,131
2024-25,7,41,45,44,58,154,113
2024-25,8,26,37,32,37,132,106
2024-25,9,41,64,54,48,127,86
2024-25,10,36,54,34,51,137,101
2024-25,11,43,63,40,55,140,97
2024-25,12,58,59,57,31,158,100
2024-25,13,54,68,55,36,175,121
2024-25,14,61,57,80,65,170,109
2024-25,15,78,47,79,53,137,59
2024-25,16,51,46,50,40,152,101
2024-25,17,97,95,83,80,182,85
2024-25,18,71,69,67,36,126,55
2024-25,19,74,75,68,59,149,75
2024-25,20,60,54,58,81,148,88
2024-25,21,44,46,59,47,160,116
2024-25,22,27,69,45,47,162,135
2024-25,23,66,64,60,83,192,126
2024-25,24,67,69,65,63,178,111
2024-25,25,51,79,50,53,158,107
2024-25,26,76,66,74,46,181,105
2024-25,27,58,53,55,53,174,116
2024-25,28,36,90,41,61,142,106
2024-25,29,40,73,43,58,170,130
2024-25,30,32,46,40,31,143,111
2024-25,31,21,36,23,22,168,147
2024-25,32,51,63,43,64,176,125
2024-25,33,26,51,25,53,157,131
2024-25,34,66,57,67,54,183,117
2024-25,35,36,52,36,59,141,105
2024-25,36,54,51,55,47,148,94
2024-25,37,58,37,52,37,166,108
2024-25,38,42,47,37,57,164,122
2025-26,1,64,39,53,43,152,88
2025-26,2,34,43,24,50,175,141
2025-26,3,65,34,61,54,143,78
2025-26,4,74,81,58,49,149,75
2025-26,5,41,58,51,65,135,94
2025-26,6,59,72,55,65,159,100
2025-26,7,72,61,64,60,151,79
2025-26,8,91,62,82,79,169,78
2025-26,9,41,47,43,36,169,128
2025-26,10,77,72,75,62,141,64
2025-26,11,43,39,31,47,153,110
2025-26,12,34,36,38,47,173,139
2025-26,13,37,25,51,40,159,122
2025-26,14,68,64,64,61,167,99
2025-26,15,46,66,32,57,159,113
2025-26,16,67,80,64,65,174,107
2025-26,17,54,57,51,83,165,111
2025-26,18,34,40,47,39,158,124
2025-26,19,43,42,49,34,144,101
2025-26,20,43,40,39,43,157,114
2025-26,21,49,54,51,44,145,96
2025-26,22,33,45,31,31,125,92
2025-26,23,45,24,36,55,138,93
