season,gw,formation,bench_pts,autosub_pts,budget_used
2022-23,1,5-4-1,3,3,98.5
2022-23,2,5-4-1,34,14,99.4
2022-23,3,5-4-1,13,2,100.0
2022-23,4,5-3-2,8,1,100.0
2022-23,5,5-4-1,13,0,100.0
2022-23,6,5-4-1,6,3,100.0
2022-23,8,5-3-2,10,0,100.0
2022-23,9,5-4-1,4,0,99.9
2022-23,10,5-4-1,7,3,100.0
2022-23,11,5-4-1,5,4,100.0
2022-23,12,5-4-1,15,2,100.0
2022-23,13,5-4-1,8,0,100.0
2022-23,14,5-4-1,3,1,100.0
2022-23,15,5-3-2,8,8,100.0
2022-23,16,5-3-2,11,3,100.0
2022-23,17,5-4-1,7,1,100.0
2022-23,18,5-3-2,27,0,100.0
2022-23,19,5-3-2,9,3,100.0
2022-23,20,5-3-2,10,5,99.2
2022-23,21,4-5-1,10,2,99.9
2022-23,22,3-5-2,34,0,99.8
2022-23,23,4-3-3,21,6,98.8
2022-23,24,4-5-1,9,0,100.0
2022-23,25,4-5-1,14,11,100.0
2022-23,26,3-5-2,10,2,99.9
2022-23,27,3-5-2,10,0,100.0
2022-23,28,5-2-3,27,0,96.0
2022-23,29,3-4-3,10,6,98.4
2022-23,30,3-4-3,16,0,93.7
2022-23,31,3-4-3,9,3,97.5
2022-23,32,3-4-3,7,0,99.8
2022-23,33,3-4-3,13,0,100.0
2022-23,34,3-5-2,20,0,99.9
2022-23,35,3-4-3,14,0,99.9
2022-23,36,3-5-2,4,1,99.9
2022-23,37,4-4-2,22,0,99.8
2022-23,38,3-5-2,23,12,99.7
2023-24,1,3-5-2,3,3,100.0
2023-24,2,4-5-1,14,1,97.0
2023-24,3,3-5-2,15,0,98.1
2023-24,4,3-5-2,5,0,100.0
2023-24,5,3-5-2,11,0,100.0
2023-24,6,3-5-2,7,0,99.6
2023-24,7,3-5-2,28,8,99.9
2023-24,8,5-4-1,5,2,99.7
2023-24,9,5-3-2,8,0,99.8
2023-24,10,5-3-2,7,0,99.0
2023-24,11,5-3-2,17,1,99.2
2023-24,12,4-5-1,17,0,98.3
2023-24,13,3-5-2,12,0,99.1
2023-24,14,3-4-3,8,0,99.9
2023-24,15,3-4-3,8,0,99.2
2023-24,16,3-4-3,24,7,100.0
2023-24,17,4-4-2,2,-1,99.1
2023-24,18,4-5-1,6,0,99.8
2023-24,19,4-5-1,4,0,99.9
2023-24,20,4-4-2,8,0,99.5
2023-24,21,3-4-3,4,3,98.8
2023-24,22,3-4-3,6,2,98.9
2023-24,23,3-4-3,4,0,87.0
2023-24,24,3-4-3,16,14,86.7
2023-24,25,3-4-3,14,0,100.0
2023-24,26,3-4-3,4,0,98.7
2023-24,27,3-4-3,4,2,99.7
2023-24,28,3-4-3,11,0,99.8
2023-24,29,3-4-3,6,2,91.5
2023-24,30,3-4-3,4,1,99.9
2023-24,31,3-5-2,8,2,98.5
2023-24,32,3-5-2,10,2,92.9
2023-24,33,3-5-2,10,0,92.3
2023-24,34,3-5-2,3,3,99.1
2023-24,35,3-5-2,28,0,86.0
2023-24,36,3-5-2,11,2,88.7
2023-24,37,3-4-3,15,0,97.0
2023-24,38,3-4-3,4,2,99.4
2024-25,1,4-3-3,7,0,100.0
2024-25,2,5-2-3,7,0,99.6
2024-25,3,5-3-2,12,0,99.2
2024-25,4,4-4-2,4,0,99.7
2024-25,5,5-4-1,12,0,99.7
2024-25,6,4-5-1,12,0,100.0
2024-25,7,4-4-2,14,0,99.6
2024-25,8,3-4-3,7,0,99.5
2024-25,9,3-4-3,5,0,99.7
2024-25,10,3-4-3,14,0,100.0
2024-25,11,3-4-3,12,0,99.9
2024-25,12,3-5-2,14,2,100.0
2024-25,13,3-4-3,6,6,100.0
2024-25,14,3-5-2,5,0,98.7
2024-25,15,3-4-3,7,0,99.7
2024-25,16,4-4-2,12,0,100.0
2024-25,17,4-5-1,12,7,99.0
2024-25,18,4-5-1,8,2,99.9
2024-25,19,4-5-1,18,0,100.0
2024-25,20,4-5-1,25,2,99.9
2024-25,21,5-3-2,10,0,99.9
2024-25,22,3-5-2,12,0,99.9
2024-25,23,4-3-3,6,0,99.8
2024-25,24,4-3-3,5,0,98.3
2024-25,25,3-4-3,8,6,99.2
2024-25,26,3-4-3,13,0,97.5
2024-25,27,4-3-3,23,2,99.0
2024-25,28,3-5-2,18,2,94.5
2024-25,29,3-4-3,15,3,88.1
2024-25,30,4-4-2,6,3,100.0
2024-25,31,4-5-1,10,0,93.1
2024-25,32,4-5-1,19,0,96.6
2024-25,33,3-4-3,7,0,92.5
2024-25,34,3-5-2,19,0,93.2
2024-25,35,3-4-3,20,9,95.9
2024-25,36,3-4-3,33,0,99.6
2024-25,37,3-5-2,28,15,100.0
2024-25,38,4-5-1,8,0,99.9
2025-26,1,4-4-2,11,9,100.0
2025-26,2,5-4-1,3,0,99.6
2025-26,3,4-4-2,11,0,100.0
2025-26,4,4-4-2,9,1,100.0
2025-26,5,5-4-1,12,6,100.0
2025-26,6,4-4-2,16,0,100.0
2025-26,7,4-4-2,6,1,99.5
2025-26,8,4-4-2,25,2,100.0
2025-26,9,5-3-2,17,5,99.1
2025-26,10,4-3-3,14,0,99.9
2025-26,11,4-3-3,16,0,99.8
2025-26,12,4-4-2,17,1,99.7
2025-26,13,4-3-3,12,0,99.9
2025-26,14,5-3-2,11,7,98.2
2025-26,15,5-3-2,6,2,98.7
2025-26,16,5-3-2,23,1,100.0
2025-26,17,4-4-2,20,0,100.0
2025-26,18,3-5-2,7,3,99.8
2025-26,19,4-4-2,20,0,99.9
2025-26,20,4-5-1,16,5,99.9
2025-26,21,3-5-2,9,0,98.9
2025-26,22,3-4-3,11,0,99.6
2025-26,23,4-4-2,15,12,99.7
2025-26,24,4-4-2,9,0,97.7
2025-26,25,4-5-1,10,0,98.9
2025-26,26,3-4-3,5,0,99.8
2025-26,27,3-5-2,18,11,99.4
2025-26,28,3-5-2,16,0,99.6
2025-26,29,3-5-2,6,1,99.1
2025-26,30,3-5-2,4,2,99.7
2025-26,31,5-3-2,20,0,96.5
2025-26,32,3-5-2,22,0,95.6
2025-26,33,3-4-3,13,10,89.3
2025-26,34,5-3-2,12,0,94.2
2025-26,35,5-2-3,15,5,98.7
2025-26,36,5-3-2,7,4,99.2
2025-26,37,5-2-3,18,0,98.9
2025-26,38,5-4-1,6,6,99.1
