season,gw,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,captain_doubled_total
2022-23,1,Kevin Mbabu,0,0,0,0,0
2022-23,2,William Saliba,-1,-1,0,0,-2
2022-23,3,William Saliba,14,14,1,1,28
2022-23,4,Bukayo Saka,5,5,0,1,10
2022-23,5,Mohamed Salah,10,10,0,1,20
2022-23,6,Mohamed Salah,3,3,0,1,6
2022-23,8,José Malheiro de Sá,2,2,0,0,4
2022-23,9,Mohamed Salah,5,5,0,1,10
2022-23,10,Ed Turns,0,2,0,0,0
2022-23,11,João Cancelo,2,2,0,0,4
2022-23,12,Mohamed Salah,3,3,0,0,6
2022-23,13,Alisson Ramses Becker,4,4,0,0,8
2022-23,14,David Raya Martin,3,3,0,0,6
2022-23,15,Kepa Arrizabalaga,0,15,0,0,0
2022-23,16,Mohamed Salah,2,2,0,0,4
2022-23,17,Dean Henderson,0,12,0,0,0
2022-23,18,Danny Ward,3,3,0,0,6
2022-23,19,Mohamed Salah,2,2,0,0,4
2022-23,20,Erling Haaland,6,6,0,0,12
2022-23,21,Erling Haaland,17,17,1,1,34
2022-23,22,Erling Haaland,2,2,0,0,4
2022-23,23,Kieran Trippier,2,2,0,0,4
2022-23,24,Kieran Trippier,1,1,0,0,2
2022-23,25,Eddie Nketiah,1,1,0,0,2
2022-23,26,Jarrod Bowen,1,1,0,0,2
2022-23,27,Alexis Mac Allister,3,3,0,1,6
2022-23,28,Ivan Toney,2,2,0,0,4
2022-23,29,Alexis Mac Allister,6,6,0,1,12
2022-23,30,Harry Kane,9,9,0,1,18
2022-23,31,Harry Kane,2,2,0,0,4
2022-23,32,Harry Kane,6,6,0,0,12
2022-23,33,Mohamed Salah,2,2,0,0,4
2022-23,34,Mohamed Salah,11,11,1,1,22
2022-23,35,Erling Haaland,2,2,0,0,4
2022-23,36,Erling Haaland,7,7,0,0,14
2022-23,37,Mohamed Salah,5,5,1,1,10
2022-23,38,Mohamed Salah,5,5,1,1,10
2023-24,1,Mohamed Salah,5,5,1,1,10
2023-24,2,Mohamed Salah,5,5,0,1,10
2023-24,3,Bryan Mbeumo,2,2,0,0,4
2023-24,4,Bruno Borges Fernandes,2,2,0,0,4
2023-24,5,Bryan Mbeumo,2,2,0,0,4
2023-24,6,Erling Haaland,6,6,0,0,12
2023-24,7,Erling Haaland,2,2,0,0,4
2023-24,8,Erling Haaland,2,2,0,1,4
2023-24,9,Erling Haaland,8,8,0,0,16
2023-24,10,Mohamed Salah,8,8,0,1,16
2023-24,11,Mohamed Salah,2,2,0,0,4
2023-24,12,Mohamed Salah,16,16,1,1,32
2023-24,13,Mohamed Salah,5,5,0,1,10
2023-24,14,Erling Haaland,7,7,0,1,14
2023-24,15,Erling Haaland,2,2,0,0,4
2023-24,16,Erling Haaland,0,13,0,0,0
2023-24,17,Erling Haaland,0,9,0,0,0
2023-24,18,Dominic Solanke,17,17,1,1,34
2023-24,19,Dominic Solanke,6,6,0,1,12
2023-24,20,Trent Alexander-Arnold,0,0,0,0,0
2023-24,21,Mohamed Salah,0,0,0,0,0
2023-24,22,Julián Álvarez,13,13,1,1,26
2023-24,23,Julián Álvarez,2,2,0,0,4
2023-24,24,Bukayo Saka,15,15,1,1,30
2023-24,25,Bukayo Saka,15,15,1,1,30
2023-24,26,Bukayo Saka,10,10,0,1,20
2023-24,27,Bukayo Saka,7,7,0,1,14
2023-24,28,Erling Haaland,2,2,0,1,4
2023-24,29,Ollie Watkins,2,2,0,0,4
2023-24,30,Erling Haaland,2,2,0,0,4
2023-24,31,Luis Díaz,6,6,0,0,12
2023-24,32,Cole Palmer,5,5,0,1,10
2023-24,33,Cole Palmer,26,26,1,1,52
2023-24,34,Cole Palmer,0,2,0,0,0
2023-24,35,Alexander Isak,13,13,1,1,26
2023-24,36,Bruno Borges Fernandes,0,7,0,0,0
2023-24,37,Cole Palmer,6,6,0,1,12
2023-24,38,Cole Palmer,6,6,0,0,12
2024-25,1,Erling Haaland,7,7,0,1,14
2024-25,2,Erling Haaland,17,17,1,1,34
2024-25,3,Erling Haaland,17,17,1,1,34
2024-25,4,Erling Haaland,13,13,0,1,26
2024-25,5,Erling Haaland,9,9,0,1,18
2024-25,6,Erling Haaland,2,2,0,0,4
2024-25,7,Erling Haaland,2,2,0,0,4
2024-25,8,Cole Palmer,2,2,0,1,4
2024-25,9,Cole Palmer,10,10,1,1,20
2024-25,10,Cole Palmer,3,3,0,1,6
2024-25,11,Cole Palmer,2,2,0,0,4
2024-25,12,Erling Haaland,2,2,0,0,4
2024-25,13,Erling Haaland,2,2,0,0,4
2024-25,14,Mohamed Salah,18,18,1,1,36
2024-25,15,Cole Palmer,18,18,1,1,36
2024-25,16,Mohamed Salah,5,5,0,0,10
2024-25,17,Mohamed Salah,21,21,1,1,42
2024-25,18,Mohamed Salah,9,9,0,1,18
2024-25,19,Mohamed Salah,16,16,1,1,32
2024-25,20,Mohamed Salah,7,7,0,1,14
2024-25,21,Mohamed Salah,2,2,0,0,4
2024-25,22,Mohamed Salah,3,3,0,1,6
2024-25,23,Mohamed Salah,8,8,0,1,16
2024-25,24,Mohamed Salah,16,16,1,1,32
2024-25,25,Bryan Mbeumo,3,3,0,0,6
2024-25,26,Jean-Philippe Mateta,5,5,0,0,10
2024-25,27,Jean-Philippe Mateta,8,8,1,1,16
2024-25,28,Jean-Philippe Mateta,0,2,0,0,0
2024-25,29,Cole Palmer,0,1,0,0,0
2024-25,30,Mohamed Salah,3,3,0,1,6
2024-25,31,Ismaïla Sarr,2,2,0,1,4
2024-25,32,Ismaïla Sarr,2,2,0,0,4
2024-25,33,Mohamed Salah,3,3,0,1,6
2024-25,34,Mohamed Salah,8,8,0,1,16
2024-25,35,Rayan Aït-Nouri,2,2,0,1,4
2024-25,36,Alexander Isak,2,2,0,0,4
2024-25,37,Alexander Isak,0,6,0,0,0
2024-25,38,Yoane Wissa,1,1,0,0,2
2025-26,1,Yoane Wissa,0,8,0,0,0
2025-26,2,Fabian Schär,1,1,0,0,2
2025-26,3,Erling Haaland,9,9,0,1,18
2025-26,4,Erling Haaland,13,13,1,1,26
2025-26,5,Erling Haaland,9,9,1,1,18
2025-26,6,Erling Haaland,16,16,1,1,32
2025-26,7,Erling Haaland,8,8,0,1,16
2025-26,8,Erling Haaland,13,13,0,1,26
2025-26,9,Jean-Philippe Mateta,2,2,0,0,4
2025-26,10,Jean-Philippe Mateta,9,9,0,1,18
2025-26,11,Jean-Philippe Mateta,2,2,0,0,4
2025-26,12,Jean-Philippe Mateta,1,1,0,0,2
2025-26,13,Erling Haaland,2,2,0,0,4
2025-26,14,Igor Thiago Nascimento Rodrigues,1,1,0,0,2
2025-26,15,Erling Haaland,2,2,0,0,4
2025-26,16,Erling Haaland,13,13,1,1,26
2025-26,17,Erling Haaland,16,16,1,1,32
2025-26,18,Erling Haaland,2,2,0,0,4
2025-26,19,Erling Haaland,2,2,0,0,4
2025-26,20,Kevin Schade,6,6,0,1,12
2025-26,21,Kevin Schade,6,6,0,1,12
2025-26,22,Kevin Schade,1,1,0,0,2
2025-26,23,Kevin Schade,2,2,0,0,4
2025-26,24,Ollie Watkins,0,2,0,0,0
2025-26,25,Igor Thiago Nascimento Rodrigues,5,5,0,0,10
2025-26,26,Erling Haaland,5,5,0,1,10
2025-26,27,Cole Palmer,3,3,0,0,6
2025-26,28,Cole Palmer,1,1,0,0,2
2025-26,29,Cole Palmer,9,9,0,0,18
2025-26,30,João Pedro Junqueira de Jesus,2,2,0,0,4
2025-26,31,João Pedro Junqueira de Jesus,2,2,0,0,4
2025-26,32,João Pedro Junqueira de Jesus,2,2,0,0,4
2025-26,33,Bruno Borges Fernandes,6,6,0,1,12
2025-26,34,Igor Thiago Nascimento Rodrigues,1,1,0,0,2
2025-26,35,Erling Haaland,7,7,1,1,14
2025-26,36,Erling Haaland,0,0,0,0,0
2025-26,37,Gabriel dos Santos Magalhães,6,6,0,0,12
2025-26,38,Gabriel dos Santos Magalhães,1,1,0,0,2
