season,gw,formation,ennovera_pts,baseline_pts_form,baseline_xgi_pts,baseline_price_pts,hindsight_oracle_pts,squad_regret,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,bench_pts,autosub_pts,budget_used
2022-23,1,5-4-1,27,21,25,43,148,121,Kevin Mbabu,0,0,0,0,3,3,98.5
2022-23,2,5-4-1,56,21,60,83,162,106,William Saliba,-1,-1,0,0,34,14,99.4
2022-23,3,5-4-1,61,57,57,61,150,89,William Saliba,14,14,1,1,13,2,100.0
2022-23,4,5-3-2,35,58,42,60,168,133,Bukayo Saka,5,5,0,1,8,1,100.0
2022-23,5,5-4-1,46,60,31,68,131,85,Mohamed Salah,10,10,0,1,13,0,100.0
2022-23,6,5-4-1,27,49,23,63,153,126,Mohamed Salah,3,3,0,1,6,3,100.0
2022-23,8,5-3-2,61,52,42,77,141,80,José Malheiro de Sá,2,2,0,0,10,0,100.0
2022-23,9,5-4-1,36,68,36,79,183,147,Mohamed Salah,5,5,0,1,4,0,99.9
2022-23,10,5-4-1,52,49,41,69,148,96,Ed Turns,0,2,0,0,7,3,100.0
2022-23,11,5-4-1,51,41,51,65,132,81,João Cancelo,2,2,0,0,5,4,100.0
2022-23,12,5-4-1,75,44,57,36,125,50,Mohamed Salah,3,3,0,0,15,2,100.0
2022-23,13,5-4-1,62,55,67,36,144,82,Alisson Ramses Becker,4,4,0,0,8,0,100.0
2022-23,14,5-4-1,38,38,42,45,156,118,David Raya Martin,3,3,0,0,3,1,100.0
2022-23,15,5-3-2,73,57,58,76,148,75,Kepa Arrizabalaga,0,15,0,0,8,8,100.0
2022-23,16,5-3-2,52,55,93,33,148,96,Mohamed Salah,2,2,0,0,11,3,100.0
2022-23,17,5-4-1,73,72,36,51,153,80,Dean Henderson,0,12,0,0,7,1,100.0
2022-23,18,5-3-2,48,53,60,37,127,79,Danny Ward,3,3,0,0,27,0,100.0
2022-23,19,5-3-2,60,62,66,38,143,83,Mohamed Salah,2,2,0,0,9,3,100.0
2022-23,20,5-3-2,67,66,78,34,152,85,Erling Haaland,6,6,0,0,10,5,99.2
2022-23,21,4-5-1,79,55,66,49,139,60,Erling Haaland,17,17,1,1,10,2,99.9
2022-23,22,3-5-2,55,36,55,41,148,93,Erling Haaland,2,2,0,0,34,0,99.8
2022-23,23,4-3-3,45,50,37,41,132,87,Kieran Trippier,2,2,0,0,21,6,98.8
2022-23,24,4-5-1,36,73,22,51,143,107,Kieran Trippier,1,1,0,0,9,0,100.0
2022-23,25,4-5-1,35,51,44,40,155,120,Eddie Nketiah,1,1,0,0,14,11,100.0
2022-23,26,3-5-2,27,41,48,40,169,142,Jarrod Bowen,1,1,0,0,10,2,99.9
