season,gw,player_out,player_in,transfer_cost,predicted_gain,actual_out_pts,actual_in_pts
2022-23,3,Zidane Iqbal,Harrison Reed,0,2.42,0,2
2022-23,4,Adrián San Miguel del Castillo,Danny Ward,0,5.91,0,1
2022-23,5,Junior Stanislas,Josh Dasilva,0,3.39,0,1
2022-23,6,Kevin Mbabu,Lewis Dunk,0,10.58,1,1
2022-23,8,Jan Bednarek,Jonathan Castro Otto,0,10.38,0,1
2022-23,9,Josh Dasilva,Sean Longstaff,0,3.06,1,7
2022-23,13,Michail Antonio,Gianluca Scamacca,0,6.27,1,2
2022-23,14,Jannik Vestergaard,Neco Williams,0,6.66,0,1
2022-23,15,Jonathan Castro Otto,Timothy Castagne,0,9.86,0,6
2022-23,16,Richie Laryea,Wout Faes,0,9.51,0,6
2022-23,17,Neco Williams,Hugo Bueno López,0,1.57,1,1
2022-23,18,Gianluca Scamacca,Che Adams,0,6.01,2,5
2022-23,19,Harrison Reed,Kiernan Dewsbury-Hall,0,7.67,3,0
2022-23,21,Kiernan Dewsbury-Hall,Carlos Henrique Casimiro,0,12.21,2,0
2022-23,22,Carlos Henrique Casimiro,Leon Bailey,0,6.61,0,2
2022-23,23,Hugo Bueno López,Renan Augusto Lodi dos Santos,0,7.71,1,1
2022-23,24,Che Adams,Brennan Johnson,0,10.21,0,2
2022-23,25,Jamie Vardy,Eddie Nketiah,0,16.18,1,1
2022-23,26,Leon Bailey,Solly March,0,12.74,1,3
2022-23,27,Thiago Emiliano da Silva,Trent Alexander-Arnold,0,17.17,0,2
2022-23,28,Eddie Nketiah,Bryan Mbeumo,0,9.35,0,2
2022-23,29,Danny Ward,Emiliano Martínez Romero,0,12.36,0,3
2022-23,30,Marcos Senesi,Alexandre Moreno Lopera,0,5.89,0,5
2022-23,31,Bryan Mbeumo,Dominic Solanke,0,12.13,2,15
2022-23,33,Brennan Johnson,Bryan Mbeumo,0,1.86,0,6
2022-23,35,James Ward-Prowse,Eberechi Eze,0,7.74,13,2
2022-23,36,Benjamin White,Pervis Estupiñán,0,8.59,1,0
2022-23,37,Gabriel Martinelli Silva,Morgan Gibbs-White,0,12.0,0,5
2022-23,38,Alexandre Moreno Lopera,Ben Mee,0,7.58,0,6
2023-24,2,Igor Julio dos Santos de Paulo,Aaron Wan-Bissaka,0,8.13,0,1
2023-24,3,Bruno Cavaco Jordão,Ethan Brierley,0,3.26,0,0
2023-24,4,Dwight McNeil,Carlos Henrique Casimiro,0,12.45,1,2
2023-24,5,Ethan Brierley,Marvelous Nakamba,0,3.69,0,2
2023-24,6,Bénie Traoré,Lyle Foster,0,6.74,1,0
