season,gw,formation,fpla_pts,raw_xi_pts,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,bench_pts,autosub_pts,budget_used
2022-23,1,5-3-2,31,25,Kevin Mbabu,0,0,0,0,6,6,100.0
2022-23,2,4-4-2,61,62,William Saliba,-1,-1,0,0,15,0,99.4
2022-23,3,5-3-2,50,45,Bukayo Saka,3,3,0,0,13,2,100.0
2022-23,4,5-3-2,35,29,Bukayo Saka,5,5,0,1,8,1,100.0
2022-23,5,5-4-1,45,35,Mohamed Salah,10,10,0,1,13,0,100.0
2022-23,6,5-4-1,26,22,Mohamed Salah,3,3,0,1,5,1,100.0
2022-23,8,5-3-2,79,60,Son Heung-min,19,19,1,1,11,0,100.0
2022-23,9,4-5-1,37,32,Mohamed Salah,5,5,0,1,1,0,100.0
2022-23,10,4-4-2,48,35,Mohamed Salah,2,2,0,0,13,11,100.0
2022-23,11,4-4-2,62,40,Mohamed Salah,8,8,0,1,15,14,100.0
2022-23,12,5-4-1,79,68,Mohamed Salah,3,3,0,0,19,8,100.0
2022-23,13,5-3-2,54,52,Mohamed Salah,2,2,0,0,14,0,100.0
2022-23,14,5-3-2,42,35,Mohamed Salah,7,7,0,1,2,0,100.0
2022-23,15,5-3-2,73,50,Mohamed Salah,15,15,1,1,8,8,100.0
2022-23,16,5-3-2,77,73,Mohamed Salah,2,2,0,0,7,2,100.0
2022-23,17,5-4-1,77,64,Mohamed Salah,12,12,1,1,5,1,100.0
2022-23,18,5-3-2,50,48,Mohamed Salah,2,2,0,0,24,0,100.0
2022-23,19,4-3-3,60,49,Mohamed Salah,2,2,0,0,15,9,100.0
2022-23,20,5-3-2,78,52,Erling Haaland,6,6,0,0,22,20,99.9
2022-23,21,3-5-2,79,56,Erling Haaland,17,17,1,1,14,6,99.9
2022-23,22,3-5-2,55,53,Erling Haaland,2,2,0,0,34,0,99.8
2022-23,23,3-4-3,48,38,Erling Haaland,4,4,0,0,19,6,99.7
2022-23,24,3-4-3,43,36,Harry Kane,5,5,0,1,8,2,100.0
2022-23,25,3-5-2,39,33,Harry Kane,6,6,0,1,2,0,100.0
2022-23,26,3-5-2,27,24,Jarrod Bowen,1,1,0,0,10,2,99.9
2022-23,27,3-5-2,36,36,Mohamed Salah,0,0,0,0,10,0,100.0
2022-23,28,3-4-3,44,42,Ivan Toney,2,2,0,0,12,0,99.7
2022-23,29,3-4-3,52,45,Mohamed Salah,6,6,0,1,5,1,100.0
2022-23,30,3-4-3,64,55,Harry Kane,9,9,0,1,18,0,99.9
2022-23,31,3-4-3,59,47,Harry Kane,2,2,0,0,16,10,100.0
2022-23,32,3-4-3,58,52,Harry Kane,6,6,0,0,11,0,99.8
2022-23,33,3-4-3,50,48,Mohamed Salah,2,2,0,0,13,0,100.0
2022-23,34,3-5-2,55,44,Mohamed Salah,11,11,1,1,20,0,99.9
2022-23,35,3-4-3,42,40,Erling Haaland,2,2,0,0,20,0,99.9
2022-23,36,3-4-3,56,48,Erling Haaland,7,7,0,0,4,1,99.9
2022-23,37,3-5-2,31,26,Mohamed Salah,5,5,1,1,22,0,99.8
2022-23,38,3-5-2,38,33,Mohamed Salah,5,5,0,1,9,0,100.0
2023-24,1,3-5-2,28,20,Mohamed Salah,5,5,1,1,3,3,100.0
2023-24,2,4-5-1,45,39,Mohamed Salah,5,5,0,1,8,1,99.6
2023-24,3,3-5-2,43,41,Bryan Mbeumo,2,2,0,0,13,0,99.5
2023-24,4,3-5-2,57,55,Bruno Borges Fernandes,2,2,0,0,4,0,100.0
2023-24,5,3-5-2,41,35,Erling Haaland,6,6,0,1,11,0,100.0
2023-24,6,3-5-2,58,52,Erling Haaland,6,6,0,0,18,0,99.8
2023-24,7,3-5-2,53,43,Erling Haaland,2,2,0,0,22,8,99.9
2023-24,8,4-5-1,26,21,Erling Haaland,2,2,0,1,6,3,99.7
2023-24,9,4-4-2,68,60,Erling Haaland,8,8,0,0,12,0,99.9
2023-24,10,4-4-2,56,48,Mohamed Salah,8,8,0,1,5,0,99.9
2023-24,11,5-3-2,48,45,Mohamed Salah,2,2,0,0,14,1,99.7
2023-24,12,4-5-1,64,48,Mohamed Salah,16,16,1,1,6,0,100.0
2023-24,13,3-4-3,41,36,Mohamed Salah,5,5,0,1,17,0,99.1
2023-24,14,3-4-3,52,45,Erling Haaland,7,7,0,1,8,0,99.9
2023-24,15,3-4-3,41,39,Erling Haaland,2,2,0,0,17,0,100.0
2023-24,16,3-4-3,51,36,Erling Haaland,0,13,0,0,24,2,100.0
2023-24,17,3-5-2,42,41,Mohamed Salah,3,3,0,0,1,-2,100.0
2023-24,18,3-5-2,58,51,Mohamed Salah,7,7,0,1,5,0,99.8
2023-24,19,3-5-2,44,40,Mohamed Salah,3,3,0,0,4,1,99.9
2023-24,20,4-4-2,73,57,Mohamed Salah,16,16,1,1,8,0,99.5
2023-24,21,3-5-2,22,18,Mohamed Salah,0,3,0,0,2,1,99.4
2023-24,22,3-4-3,62,50,Mohamed Salah,0,10,0,0,15,2,100.0
2023-24,23,3-4-3,56,34,Julián Álvarez,2,2,0,1,23,20,100.0
2023-24,24,3-4-3,67,42,Bukayo Saka,15,15,1,1,31,10,99.5
2023-24,25,3-4-3,75,60,Bukayo Saka,15,15,1,1,20,0,99.9
2023-24,26,3-4-3,56,51,Erling Haaland,5,5,0,0,22,0,99.7
2023-24,27,3-4-3,66,56,Erling Haaland,6,6,0,0,6,4,100.0
2023-24,28,3-4-3,27,25,Erling Haaland,2,2,0,1,11,0,99.8
2023-24,29,3-5-2,38,23,Ollie Watkins,2,2,0,1,17,13,92.6
2023-24,30,3-4-3,46,43,Erling Haaland,2,2,0,0,4,1,99.9
2023-24,31,3-5-2,92,76,Erling Haaland,0,6,0,0,10,10,100.0
2023-24,32,3-5-2,50,38,Cole Palmer,5,5,0,1,14,7,99.4
2023-24,33,3-5-2,81,55,Cole Palmer,26,26,1,1,11,0,100.0
2023-24,34,3-5-2,58,55,Cole Palmer,0,2,0,0,3,1,99.5
2023-24,35,3-5-2,68,54,Alexander Isak,13,13,1,1,23,1,99.1
2023-24,36,3-5-2,79,62,Bruno Borges Fernandes,0,7,0,0,13,10,99.9
2023-24,37,3-4-3,51,43,Cole Palmer,6,6,0,1,11,2,99.9
2023-24,38,3-4-3,51,40,Erling Haaland,2,2,0,0,17,9,99.8
2024-25,1,3-4-3,48,41,Erling Haaland,7,7,0,1,10,0,100.0
