season,gw,formation,fplb_pts,cum_pts,raw_xi_pts,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,transfers_in,transfers_out,hit_cost,bank,bench_pts,autosub_pts
2022-23,1,5-3-2,31,31,25,Kevin Mbabu,0,0,0,0,None,None,0,0.0,6,6
2022-23,2,5-3-2,39,70,37,William Saliba,-1,-1,0,0,None,None,0,0.0,3,3
2022-23,3,3-4-3,52,122,47,Kevin De Bruyne,5,5,0,0,Harrison Reed,Zidane Iqbal,0,0.0,0,0
2022-23,4,3-4-3,38,160,36,Kevin De Bruyne,2,2,0,0,Danny Ward,Adrián San Miguel del Castillo,0,0.0,3,0
2022-23,5,3-4-3,24,184,22,Kevin De Bruyne,1,1,0,0,Josh Dasilva,Junior Stanislas,0,0.2,3,1
2022-23,6,3-4-3,35,219,32,Son Heung-min,2,2,0,0,Lewis Dunk,Kevin Mbabu,0,0.1,3,1
2022-23,8,3-4-3,98,317,79,Son Heung-min,19,19,1,1,Jonathan Castro Otto,Jan Bednarek,0,0.0,2,0
2022-23,9,3-4-3,38,355,30,Kevin De Bruyne,8,8,1,1,Sean Longstaff,Josh Dasilva,0,0.1,15,0
2022-23,10,3-5-2,59,414,45,Kevin De Bruyne,6,6,0,1,None,None,0,0.1,9,8
2022-23,11,3-5-2,37,451,35,Kevin De Bruyne,2,2,0,0,None,None,0,0.1,7,0
2022-23,12,3-5-2,62,513,58,Mohamed Salah,3,3,0,0,None,None,0,0.1,12,1
2022-23,13,3-4-3,45,558,43,Mohamed Salah,2,2,0,0,Gianluca Scamacca,Michail Antonio,0,0.4,8,0
2022-23,14,3-4-3,40,598,33,Mohamed Salah,7,7,0,1,Neco Williams,Jannik Vestergaard,0,0.2,13,0
2022-23,15,4-3-3,70,668,52,Mohamed Salah,15,15,1,1,Timothy Castagne,Jonathan Castro Otto,0,0.0,5,3
2022-23,16,5-3-2,57,725,53,Mohamed Salah,2,2,0,0,Wout Faes,Richie Laryea,0,0.0,8,2
2022-23,17,4-4-2,64,789,51,Mohamed Salah,12,12,1,1,Hugo Bueno López,Neco Williams,0,0.1,11,1
2022-23,18,4-4-2,33,822,31,Mohamed Salah,2,2,0,0,Che Adams,Gianluca Scamacca,0,0.4,12,0
2022-23,19,3-5-2,56,878,52,Mohamed Salah,2,2,0,0,Kiernan Dewsbury-Hall,Harrison Reed,0,0.0,4,2
2022-23,20,4-4-2,57,935,55,Mohamed Salah,2,2,0,0,None,None,0,0.0,11,0
2022-23,21,4-4-2,44,979,39,Mohamed Salah,3,3,0,0,Carlos Henrique Casimiro,Kiernan Dewsbury-Hall,0,0.0,7,2
2022-23,22,4-4-2,45,1024,37,Mohamed Salah,2,2,0,0,Leon Bailey,Carlos Henrique Casimiro,0,0.4,10,6
2022-23,23,4-4-2,41,1065,39,Harry Kane,2,2,0,0,Renan Augusto Lodi dos Santos,Hugo Bueno López,0,0.0,10,0
2022-23,24,4-4-2,64,1129,56,Mohamed Salah,6,6,0,0,Brennan Johnson,Che Adams,0,0.5,6,2
