gw,fpla_score,old_fplb_score,corrected_fplb_score,bug_status,primary_correction
1,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
2,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
3,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
4,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
5,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
6,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
7,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
8,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
9,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
10,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
11,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
12,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
13,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
14,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
15,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
16,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
17,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
18,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
19,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
20,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
21,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
22,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
23,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
24,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
25,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
26,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
27,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
28,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
29,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
30,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
31,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
32,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
33,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
34,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
35,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
36,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
37,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
38,53,47,52,FIXED,Replaced non-playing/injured starters via multi-position scan
