season,gw,chip,formation,score,cum_score,raw_xi_pts,captain_name,captain_pts,captain_extra,capt_top1_hit,capt_top3_hit,transfers_in,transfers_out,hit_cost,bank,bench_pts,autosub_pts
2025-26,1,NONE,4-4-2,58,58,47,Mohamed Salah,8,8,0,1,None,None,0,0.0,11,3
2025-26,2,NONE,4-3-3,35,93,21,Mohamed Salah,5,5,0,1,Marco Bizot,Filip Jörgensen,0,0.0,9,9
2025-26,3,NONE,4-4-2,44,137,40,Mohamed Salah,3,3,0,0,Daniel Muñoz Mejía,Joško Gvardiol,0,0.4,4,1
2025-26,4,NONE,4-4-2,61,198,40,Mohamed Salah,9,9,1,1,Bryan Mbeumo,Cole Palmer,0,2.7,12,12
2025-26,5,NONE,4-5-1,40,238,32,Mohamed Salah,5,5,0,1,Antoine Semenyo,Ilia Gruev,0,0.0,3,3
2025-26,6,TRIPLE_CAPTAIN_1,4-4-2,32,270,26,Mohamed Salah,2,4,0,0,Đorđe Petrović,Marco Bizot,0,0.0,16,2
2025-26,7,NONE,3-4-3,54,324,50,Mohamed Salah,2,2,0,0,Marcos Senesi Barón,Fabian Schär,0,0.5,12,2
2025-26,8,WILDCARD_1,3-4-3,88,412,73,Erling Haaland,13,13,0,1,None,None,0,0.0,28,2
2025-26,9,NONE,4-3-3,31,443,27,Erling Haaland,2,2,0,0,Nordi Mukiele,Sven Botman,0,0.8,7,2
2025-26,10,NONE,3-4-3,84,527,75,Jean-Philippe Mateta,9,9,0,1,Declan Rice,Lucas Tolentino Coelho de Lima,0,0.0,5,0
2025-26,11,NONE,3-4-3,47,574,43,Erling Haaland,4,4,0,0,Cody Gakpo,Antoine Semenyo,0,0.5,9,0
2025-26,12,NONE,3-4-3,43,617,41,Erling Haaland,2,2,0,0,Chris Richards,Omar Alderete,0,0.1,23,0
2025-26,13,NONE,3-4-3,62,679,59,Erling Haaland,2,2,0,0,Igor Thiago Nascimento Rodrigues,Nick Woltemade,0,0.9,4,1
2025-26,14,NONE,3-4-3,63,742,47,Erling Haaland,14,14,1,1,Pedro Lomba Neto,Iliman Ndiaye,0,0.3,12,2
2025-26,15,NONE,3-4-3,51,793,47,Erling Haaland,2,2,0,0,Dean Henderson,Nick Pope,0,0.3,10,2
2025-26,16,NONE,4-3-3,63,856,49,Erling Haaland,13,13,1,1,Jan Paul van Hecke,Nordi Mukiele,0,0.0,4,1
2025-26,17,FREE_HIT_1,3-4-3,65,921,49,Erling Haaland,16,16,1,1,None,None,0,0.0,9,0
2025-26,18,BENCH_BOOST_1,3-4-3,38,959,20,Erling Haaland,2,2,0,0,Morgan Rogers,Cody Gakpo,0,0.0,16,0
2025-26,19,NONE,3-5-2,45,1004,41,Erling Haaland,2,2,0,0,Rúben dos Santos Gato Alves Dias,Daniel Muñoz Mejía,0,0.1,4,2
2025-26,20,NONE,3-5-2,62,1066,60,Erling Haaland,2,2,0,0,Matheus Santos Carneiro da Cunha,Bruno Borges Fernandes,0,1.0,24,0
2025-26,21,NONE,3-4-3,57,1123,50,Erling Haaland,6,6,0,1,Keane Lewis-Potter,Chris Richards,0,0.5,10,1
2025-26,22,NONE,3-5-2,32,1155,28,Erling Haaland,2,2,0,0,Kevin Schade,Declan Rice,0,0.7,12,2
2025-26,23,NONE,3-4-3,35,1190,33,Kevin Schade,2,2,0,0,James Tarkowski,Nico O'Reilly,0,0.0,15,0
2025-26,24,NONE,3-4-3,37,1227,33,Igor Thiago Nascimento Rodrigues,2,2,0,0,Morgan Gibbs-White,Matheus Santos Carneiro da Cunha,0,0.7,5,2
2025-26,25,NONE,3-5-2,54,1281,48,Igor Thiago Nascimento Rodrigues,5,5,0,0,William Saliba,Rúben dos Santos Gato Alves Dias,0,0.2,9,1
2025-26,26,NONE,3-4-3,26,1307,21,Erling Haaland,5,5,1,1,Raúl Jiménez Rodríguez,Jean-Philippe Mateta,0,1.5,14,0
