subgroup,feature_tested,match_count,ll_with_feature,ll_without_feature,benefit_delta_ll,verdict
Promoted Teams,diff_xi_att,19,0.74436,0.74422,-0.00014,NEUTRAL
Promoted Teams,diff_xi_cre,19,0.74436,0.74419,-0.00017,NEUTRAL
Promoted Teams,diff_cont,19,0.74436,0.73847,-0.00588,HARMFUL
Promoted Teams,diff_unc,19,0.74436,0.74364,-0.00071,NEUTRAL
High Squad Turnover (Cont < 0.75),diff_xi_att,13,0.73257,0.73233,-0.00024,NEUTRAL
High Squad Turnover (Cont < 0.75),diff_xi_cre,13,0.73257,0.73231,-0.00027,NEUTRAL
High Squad Turnover (Cont < 0.75),diff_cont,13,0.73257,0.72369,-0.00888,HARMFUL
High Squad Turnover (Cont < 0.75),diff_unc,13,0.73257,0.73151,-0.00106,HARMFUL
Mid/Late Season (GW 6-38),diff_xi_att,380,1.03783,1.0377,-0.00013,NEUTRAL
Mid/Late Season (GW 6-38),diff_xi_cre,380,1.03783,1.03775,-8e-05,NEUTRAL
Mid/Late Season (GW 6-38),diff_cont,380,1.03783,1.03837,0.00053,NEUTRAL
Mid/Late Season (GW 6-38),diff_unc,380,1.03783,1.03788,5e-05,NEUTRAL
Top-6 Contenders,diff_xi_att,155,0.96475,0.96457,-0.00019,NEUTRAL
Top-6 Contenders,diff_xi_cre,155,0.96475,0.96463,-0.00013,NEUTRAL
Top-6 Contenders,diff_cont,155,0.96475,0.96488,0.00012,NEUTRAL
Top-6 Contenders,diff_unc,155,0.96475,0.96476,1e-05,NEUTRAL
Lower-Table Teams,diff_xi_att,16,1.0263,1.02584,-0.00045,NEUTRAL
Lower-Table Teams,diff_xi_cre,16,1.0263,1.02609,-0.0002,NEUTRAL
Lower-Table Teams,diff_cont,16,1.0263,1.02705,0.00075,NEUTRAL
Lower-Table Teams,diff_unc,16,1.0263,1.02638,8e-05,NEUTRAL
Large Elo Gap (|Elo Diff| > 250),diff_xi_att,36,1.00635,1.00609,-0.00026,NEUTRAL
Large Elo Gap (|Elo Diff| > 250),diff_xi_cre,36,1.00635,1.00616,-0.0002,NEUTRAL
Large Elo Gap (|Elo Diff| > 250),diff_cont,36,1.00635,1.00516,-0.00119,HARMFUL
Large Elo Gap (|Elo Diff| > 250),diff_unc,36,1.00635,1.0062,-0.00015,NEUTRAL
