club,pq_ovr,pq_attack,pq_creativity,pq_defence,pq_gk,pq_depth,pq_rank
Arsenal,85.45,8.75,8.85,8.95,8.7,0.92,1
Manchester City,85.0,9.15,8.9,8.65,8.5,0.9,2
Liverpool,84.82,8.9,8.6,8.7,8.9,0.88,3
Chelsea,82.6,8.2,8.35,7.95,7.8,0.95,4
Tottenham Hotspur,82.25,8.3,8.2,7.85,8.2,0.82,5
Newcastle United,81.8,8.1,8.0,8.1,8.2,0.78,6
Manchester United,81.5,8.0,8.1,7.9,8.1,0.85,7
Aston Villa,81.2,8.15,8.05,7.8,8.8,0.8,8
Brighton & Hove Albion,79.4,7.8,7.9,7.5,7.8,0.82,9
West Ham United,78.8,7.7,7.65,7.6,8.1,0.75,10
Crystal Palace,77.9,7.6,7.55,7.55,7.8,0.7,11
Fulham,77.5,7.5,7.5,7.45,8.2,0.72,12
Brentford,77.2,7.65,7.4,7.35,7.8,0.68,13
Bournemouth,76.8,7.45,7.35,7.3,7.7,0.65,14
Everton,76.5,7.2,7.25,7.6,8.3,0.65,15
Nottingham Forest,76.1,7.35,7.3,7.25,7.7,0.78,16
Wolverhampton Wanderers,75.8,7.4,7.3,7.2,7.9,0.65,17
Ipswich Town (Promoted),73.8,7.1,7.0,6.85,7.2,0.55,18
Leeds United (Promoted),73.5,7.15,7.05,6.8,7.4,0.58,19
Hull City / Coventry (Prom),71.9,6.85,6.75,6.6,7.0,0.48,20
