model,val_acc,val_ll,hold_acc,hold_ll,hold_brier,hold_ece,sp60_acc,sp60_cov,sp60_cnt,hist_dependence_pct
Candidate M1-D (Baseline),51.05,0.99918,48.16,1.0294,0.6188,0.0301,64.62,17.1,65,65.0
PQ7: Adaptive PQ Gating Network,52.11,0.99456,48.16,1.02976,0.6194,0.0471,61.54,23.9,91,60.0
Candidate F2 (Baseline),51.32,1.00326,48.42,1.02999,0.6192,0.0203,67.27,14.5,55,80.0
PQ3: M1 Statistical Player State,52.37,0.99462,48.16,1.03576,0.6233,0.0684,58.97,30.8,117,0.0
PQ4: Statistical + FC Quality Fusion,52.37,0.99608,48.16,1.03716,0.6248,0.085,59.84,33.4,127,0.0
PQ6: M1-D + PQ Expert,52.37,0.99608,48.16,1.03716,0.6248,0.085,59.84,33.4,127,62.0
PQ2: Position Attributes (SHO/PAS/DEF/GK),52.37,0.99572,48.42,1.03729,0.6249,0.0905,58.73,33.2,126,0.0
PQ5: F2 + PQ Expert Blend,52.37,0.99572,48.42,1.03729,0.6249,0.0905,58.73,33.2,126,72.0
PQ0: Legacy WC2026 (65/25/10),52.11,0.99562,48.68,1.03787,0.6254,0.0931,57.36,33.9,129,0.0
PQ1: Raw OVR Expected XI,52.11,0.99567,48.68,1.03798,0.6255,0.0931,57.36,33.9,129,0.0
