model,gw,home,away,actual_outcome,f2_pick,new_model_pick,transition_type,f2_probs,new_probs
M1-D,15,Aston Villa,Arsenal,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.37,0.25,0.37)"
M1-D,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.37,0.25,0.38)"
M1-D,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.37,0.25,0.38)"
PQ7,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.36,0.25,0.38)"
PQ7,15,Aston Villa,Arsenal,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.36,0.25,0.39)"
PQ7,15,Bournemouth,Chelsea,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.37,0.25,0.38)"
PQ7,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.36,0.25,0.39)"
PQ7,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.37,0.25,0.38)"
PQ7,15,Brighton and Hove Albion,Liverpool,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.37,0.25,0.38)"
PQ7,15,Leeds United,Brentford,1,0,2,WRONG -> WRONG (0),"(0.37,0.25,0.37)","(0.36,0.25,0.39)"
PQ7,15,Everton,Liverpool,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.37,0.25,0.38)"
PQ7,15,Fulham,Aston Villa,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.37)","(0.37,0.25,0.38)"
PQ7,15,Leeds United,Brighton and Hove Albion,0,0,2,CORRECT -> WRONG (-1),"(0.38,0.25,0.36)","(0.37,0.25,0.38)"
Availability,15,Leeds United,Everton,0,2,0,WRONG -> CORRECT (+1),"(0.35,0.25,0.40)","(0.38,0.24,0.38)"
Availability,15,Newcastle United,Liverpool,2,2,0,CORRECT -> WRONG (-1),"(0.35,0.25,0.40)","(0.39,0.24,0.37)"
Availability,15,Brentford,Chelsea,1,2,0,WRONG -> WRONG (0),"(0.37,0.25,0.38)","(0.39,0.25,0.37)"
Availability,15,West Ham United,Crystal Palace,2,2,0,CORRECT -> WRONG (-1),"(0.37,0.25,0.38)","(0.39,0.24,0.36)"
Availability,15,Manchester United,Chelsea,0,2,0,WRONG -> CORRECT (+1),"(0.35,0.25,0.40)","(0.38,0.24,0.37)"
Availability,15,Leeds United,Bournemouth,1,2,0,WRONG -> WRONG (0),"(0.35,0.25,0.39)","(0.38,0.24,0.37)"
Availability,15,Newcastle United,Arsenal,2,2,0,CORRECT -> WRONG (-1),"(0.36,0.25,0.39)","(0.39,0.26,0.36)"
Availability,15,Chelsea,Liverpool,0,2,0,WRONG -> CORRECT (+1),"(0.34,0.25,0.40)","(0.38,0.24,0.38)"
Availability,15,Nottingham Forest,Chelsea,2,2,0,CORRECT -> WRONG (-1),"(0.36,0.25,0.39)","(0.40,0.24,0.36)"
Availability,15,Aston Villa,Manchester City,0,2,0,WRONG -> CORRECT (+1),"(0.36,0.25,0.39)","(0.39,0.24,0.36)"
Availability,15,Tottenham,Chelsea,2,2,0,CORRECT -> WRONG (-1),"(0.37,0.25,0.38)","(0.39,0.24,0.37)"
Availability,15,Sunderland,Everton,1,2,0,WRONG -> WRONG (0),"(0.35,0.25,0.39)","(0.38,0.24,0.37)"
Availability,15,Chelsea,Arsenal,1,2,0,WRONG -> WRONG (0),"(0.37,0.25,0.38)","(0.40,0.24,0.36)"
Availability,15,Wolverhampton Wanderers,Nottingham Forest,2,2,0,CORRECT -> WRONG (-1),"(0.37,0.25,0.38)","(0.38,0.26,0.36)"
Availability,15,Crystal Palace,Manchester City,2,2,0,CORRECT -> WRONG (-1),"(0.34,0.25,0.41)","(0.39,0.24,0.37)"
Availability,15,West Ham United,Brighton and Hove Albion,1,2,0,WRONG -> WRONG (0),"(0.35,0.25,0.40)","(0.39,0.24,0.37)"
Availability,15,Crystal Palace,Aston Villa,1,2,0,WRONG -> WRONG (0),"(0.35,0.25,0.40)","(0.39,0.24,0.37)"
Availability,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.39,0.24,0.36)"
Availability,15,Leeds United,Fulham,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.40,0.24,0.36)"
Availability,15,Burnley,Tottenham,1,2,0,WRONG -> WRONG (0),"(0.36,0.25,0.39)","(0.39,0.24,0.37)"
Availability,15,Bournemouth,Aston Villa,1,2,0,WRONG -> WRONG (0),"(0.37,0.25,0.38)","(0.39,0.24,0.37)"
Availability,15,West Ham United,Bournemouth,1,2,0,WRONG -> WRONG (0),"(0.37,0.25,0.38)","(0.41,0.24,0.35)"
Availability,15,Sunderland,Brighton and Hove Albion,2,2,0,CORRECT -> WRONG (-1),"(0.37,0.25,0.38)","(0.38,0.24,0.37)"
Availability,15,Chelsea,Manchester City,2,2,0,CORRECT -> WRONG (-1),"(0.36,0.25,0.39)","(0.39,0.24,0.37)"
Availability,15,Nottingham Forest,Aston Villa,1,2,0,WRONG -> WRONG (0),"(0.36,0.25,0.39)","(0.40,0.24,0.36)"
Availability,15,Wolverhampton Wanderers,Fulham,1,2,0,WRONG -> WRONG (0),"(0.35,0.25,0.40)","(0.38,0.24,0.37)"
Availability,15,Sunderland,Chelsea,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.39,0.26,0.35)"
Tactical_T7,15,Tottenham,Aston Villa,2,0,2,WRONG -> CORRECT (+1),"(0.38,0.25,0.37)","(0.37,0.23,0.40)"
Tactical_T7,15,Bournemouth,Chelsea,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.35,0.26,0.38)"
Tactical_T7,15,Leeds United,Manchester United,1,0,2,WRONG -> WRONG (0),"(0.38,0.25,0.37)","(0.33,0.22,0.44)"
Tactical_T7,15,Crystal Palace,Aston Villa,1,2,0,WRONG -> WRONG (0),"(0.35,0.25,0.40)","(0.40,0.23,0.38)"
Tactical_T7,15,Sunderland,Crystal Palace,0,2,0,WRONG -> CORRECT (+1),"(0.37,0.25,0.38)","(0.39,0.24,0.37)"
Tactical_T7,15,Burnley,West Ham United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.34,0.25,0.40)"
Tactical_T7,15,Tottenham,Newcastle United,2,0,2,WRONG -> CORRECT (+1),"(0.39,0.25,0.36)","(0.35,0.29,0.36)"
Tactical_T7,15,Tottenham,Crystal Palace,2,0,2,WRONG -> CORRECT (+1),"(0.40,0.25,0.34)","(0.34,0.24,0.42)"
