fixture_idx,gw,home,away,actual_result,correct_in_5_base_experts,correct_in_all_tournament_models,provenance_category,valid_for_true_5_expert_oracle
0,15,Liverpool,Bournemouth,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
1,15,Tottenham,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
2,15,Sunderland,West Ham United,0,NONE,NONE,None,False
3,15,Wolverhampton Wanderers,Manchester City,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
4,15,Aston Villa,Newcastle United,1,NONE,NONE,None,False
5,15,Brighton and Hove Albion,Fulham,1,NONE,NONE,None,False
6,15,Chelsea,Crystal Palace,1,NONE,NONE,None,False
7,15,Nottingham Forest,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
8,15,Manchester United,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
9,15,Leeds United,Everton,0,Availability,Availability,5_Base_Experts,True
10,15,West Ham United,Chelsea,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
11,15,Burnley,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
12,15,Manchester City,Tottenham,2,NONE,NONE,None,False
13,15,Bournemouth,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
14,15,Brentford,Aston Villa,0,"F2, PQ7, Availability, Tactical_T7","F2, M1-D, PQ7, Availability, Tactical_T7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
15,15,Arsenal,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
