model,correct_380,accuracy_pct,log_loss,brier_score,ece,pred_H,pred_D,pred_A,draw_recall_pct,argmax_diffs_vs_F2,r2_H_vs_F2,r2_D_vs_F2,r2_A_vs_F2,wrong_to_correct_vs_F2,correct_to_wrong_vs_F2,net_winner_gain_vs_F2,sp60_picks,sp60_acc,sp60_cov
F2,184,48.42,1.02999,0.6192,0.0244,280,0,100,0.0,0,1.0,1.0,1.0,0,0,0,55,67.27,14.5
M1-D,183,48.16,1.0294,0.6188,0.0296,277,0,103,0.0,3,0.998,0.451,0.999,0,1,-1,65,64.62,17.1
PQ7,183,48.16,1.02976,0.6194,0.0447,270,0,110,0.0,10,0.994,0.675,0.997,3,4,-1,91,61.54,23.9
Availability,182,47.89,1.03945,0.6247,0.0313,307,0,73,0.0,27,0.993,0.314,0.996,7,9,-2,15,66.67,3.9
Tactical_T7,188,49.47,1.02835,0.6179,0.0652,274,0,106,0.0,10,0.97,0.33,0.975,5,1,4,95,60.0,25.0
Context_D7,188,49.47,1.02704,0.6167,0.0443,272,0,108,0.0,10,0.965,0.4,0.972,6,2,4,88,64.77,23.2
DATA04_Hybrid,187,49.21,1.02768,0.6175,0.0458,274,0,106,0.0,8,0.99,0.328,0.992,4,1,3,81,64.2,21.3
M3-E,189,49.74,1.02783,0.6175,0.0593,272,0,108,0.0,10,0.975,0.345,0.98,6,1,5,92,60.87,24.2
M3-G,188,49.47,1.02777,0.6175,0.0553,273,0,107,0.0,9,0.978,0.37,0.982,5,1,4,92,61.96,24.2
R6_Hierarchical,187,49.21,1.02678,0.6168,0.0468,274,0,106,0.0,8,0.984,0.444,0.988,4,1,3,87,64.37,22.9
R7_Tree_Disagreement,189,49.74,1.02785,0.6174,0.0583,273,0,107,0.0,11,0.968,0.337,0.975,6,1,5,94,60.64,24.7
