model_A,model_B,corr_H,mean_abs_diff,rmse_diff,max_diff,pct_fixtures_under_2pp_diff,pct_fixtures_under_5pp_diff,mean_kl_divergence
F2,M1-D,0.999,0.0041,0.0077,0.0498,95.0,100.0,0.00025
F2,PQ7,0.9972,0.0169,0.0245,0.1155,51.8,91.3,0.00264
F2,Availability,0.9965,0.0227,0.0287,0.0953,29.2,78.2,0.00464
F2,Tactical_T7,0.9849,0.0303,0.0375,0.1342,13.4,62.9,0.00634
F2,Context_D7,0.9823,0.025,0.0322,0.1097,20.5,73.9,0.00472
F2,DATA04_Hybrid,0.9952,0.0151,0.0187,0.0671,49.7,97.4,0.00154
F2,M3-E,0.9875,0.0257,0.0318,0.1082,18.9,71.6,0.00448
F2,M3-G,0.9888,0.0245,0.0307,0.1068,21.3,74.2,0.00418
F2,R6_Hierarchical,0.9922,0.02,0.0267,0.1067,37.4,84.5,0.00316
F2,R7_Tree_Disagreement,0.984,0.0276,0.0348,0.1182,18.9,66.1,0.00539
M1-D,PQ7,0.9992,0.0128,0.0176,0.0672,61.3,95.5,0.00135
M1-D,Availability,0.9975,0.0246,0.0326,0.1121,26.8,73.2,0.00567
M1-D,Tactical_T7,0.9861,0.027,0.0326,0.0902,15.0,67.9,0.00483
M1-D,Context_D7,0.9837,0.0223,0.028,0.095,25.3,82.4,0.00365
M1-D,DATA04_Hybrid,0.9954,0.012,0.0144,0.0402,59.7,100.0,0.00094
M1-D,M3-E,0.9884,0.0225,0.0271,0.0762,22.4,80.8,0.0033
M1-D,M3-G,0.9898,0.0213,0.0259,0.0692,25.0,83.7,0.003
M1-D,R6_Hierarchical,0.9937,0.0168,0.0213,0.0631,43.7,91.8,0.00204
M1-D,R7_Tree_Disagreement,0.9848,0.0244,0.0304,0.0861,23.4,71.6,0.00413
PQ7,Availability,0.9968,0.0343,0.047,0.1775,18.4,54.5,0.01055
PQ7,Tactical_T7,0.9868,0.0195,0.0238,0.0754,27.9,91.1,0.00265
PQ7,Context_D7,0.9849,0.0187,0.0233,0.0832,31.1,93.2,0.00267
PQ7,DATA04_Hybrid,0.9951,0.0114,0.0153,0.0642,67.1,97.6,0.00107
PQ7,M3-E,0.989,0.0163,0.0203,0.0667,40.5,96.3,0.00193
PQ7,M3-G,0.9904,0.0151,0.0189,0.0621,45.8,97.1,0.00169
PQ7,R6_Hierarchical,0.9944,0.0114,0.0145,0.0529,68.7,99.7,0.00102
PQ7,R7_Tree_Disagreement,0.9855,0.0188,0.0235,0.0743,33.7,90.3,0.00253
Availability,Tactical_T7,0.9847,0.0442,0.0563,0.2004,11.3,37.4,0.01593
Availability,Context_D7,0.9821,0.0374,0.048,0.1555,15.0,48.9,0.01091
Availability,DATA04_Hybrid,0.9935,0.0307,0.0406,0.1333,18.4,59.2,0.00877
Availability,M3-E,0.9869,0.0397,0.0508,0.1672,12.6,42.1,0.01287
Availability,M3-G,0.9883,0.0386,0.0497,0.1695,14.2,45.8,0.01229
Availability,R6_Hierarchical,0.9917,0.0346,0.0462,0.1729,19.2,56.3,0.01066
Availability,R7_Tree_Disagreement,0.9832,0.0415,0.0532,0.1844,12.9,40.5,0.01406
Tactical_T7,Context_D7,0.9947,0.0114,0.0153,0.0593,62.4,98.9,0.0012
Tactical_T7,DATA04_Hybrid,0.9971,0.0151,0.0187,0.0671,49.7,97.4,0.00158
Tactical_T7,M3-E,0.9994,0.0052,0.007,0.0332,95.8,100.0,0.00024
Tactical_T7,M3-G,0.9994,0.0061,0.0076,0.0309,97.6,100.0,0.00028
Tactical_T7,R6_Hierarchical,0.9975,0.0107,0.0129,0.0401,75.0,100.0,0.00078
Tactical_T7,R7_Tree_Disagreement,0.9993,0.0039,0.0062,0.0433,96.3,100.0,0.00018
Context_D7,DATA04_Hybrid,0.993,0.0131,0.0168,0.0589,59.7,98.7,0.00139
Context_D7,M3-E,0.9968,0.0079,0.0106,0.0424,85.5,100.0,0.00061
Context_D7,M3-G,0.9968,0.0077,0.0102,0.0398,88.2,100.0,0.00055
Context_D7,R6_Hierarchical,0.9955,0.0091,0.0118,0.0495,82.6,100.0,0.00068
Context_D7,R7_Tree_Disagreement,0.9959,0.0089,0.0123,0.0561,76.3,99.5,0.00082
DATA04_Hybrid,M3-E,0.9979,0.0107,0.0133,0.048,68.9,100.0,0.0008
DATA04_Hybrid,M3-G,0.9985,0.0096,0.0122,0.0466,76.8,100.0,0.00067
DATA04_Hybrid,R6_Hierarchical,0.9989,0.006,0.0094,0.0449,87.6,100.0,0.00041
DATA04_Hybrid,R7_Tree_Disagreement,0.9963,0.0128,0.0166,0.0511,57.1,99.7,0.00123
M3-E,M3-G,0.9998,0.0019,0.0026,0.0129,100.0,100.0,3e-05
M3-E,R6_Hierarchical,0.9982,0.0064,0.0085,0.0308,89.7,100.0,0.00033
M3-E,R7_Tree_Disagreement,0.9992,0.004,0.0057,0.0247,97.9,100.0,0.00015
M3-G,R6_Hierarchical,0.9989,0.0049,0.0067,0.0257,97.6,100.0,0.0002
M3-G,R7_Tree_Disagreement,0.999,0.0048,0.0063,0.028,99.5,100.0,0.00018
R6_Hierarchical,R7_Tree_Disagreement,0.9968,0.0089,0.0116,0.0407,80.8,100.0,0.00061
