team,matches_N,model_correct,model_acc_pct,market_correct,market_acc_pct,gap_vs_market
Bournemouth,38,12,31.6,13,34.2,-1
Everton,38,13,34.2,14,36.8,-1
Sunderland,38,14,36.8,15,39.5,-1
Leeds United,38,16,42.1,17,44.7,-1
Tottenham,38,16,42.1,17,44.7,-1
Chelsea,38,16,42.1,16,42.1,0
Crystal Palace,38,17,44.7,16,42.1,1
Manchester United,38,17,44.7,17,44.7,0
Aston Villa,38,18,47.4,16,42.1,2
Nottingham Forest,38,18,47.4,19,50.0,-1
Brentford,38,19,50.0,16,42.1,3
Liverpool,38,20,52.6,19,50.0,1
West Ham United,38,20,52.6,23,60.5,-3
Brighton and Hove Albion,38,21,55.3,19,50.0,2
Wolverhampton Wanderers,38,21,55.3,20,52.6,1
Newcastle United,38,21,55.3,20,52.6,1
Manchester City,38,22,57.9,18,47.4,4
Fulham,38,22,57.9,22,57.9,0
Burnley,38,26,68.4,24,63.2,2
Arsenal,38,29,76.3,27,71.1,2
