model,val_correct,val_acc,val_ll,hold_correct,hold_acc,hold_ll,hold_brier,hold_ece,h_recall,d_recall,a_recall,draw_preds,draw_precision,decisive_acc,draw_acc,argmax_diffs_vs_F2,unique_correct_when_F2_wrong,correct_lost_when_F2_correct,net_gain_vs_F2,corr_H_vs_F2,corr_D_vs_F2,corr_A_vs_F2
F2_Baseline,195,51.32,1.00326,184,48.42,1.02999,0.6192,0.0244,86.42,0.0,38.6,0,0.0,66.67,0.0,0,0,0,0,1.0,1.0,1.0
Tactical_T7,197,51.84,0.99383,187,49.21,1.02775,0.6176,0.0503,85.8,0.0,42.11,0,0.0,67.75,0.0,8,4,1,3,0.988,-0.639,0.991
Context_D7,199,52.37,0.99309,186,48.95,1.03065,0.6197,0.0561,85.19,0.0,42.11,0,0.0,67.39,0.0,9,4,2,2,0.989,-0.706,0.991
M3_Peak,198,52.11,0.99505,189,49.74,1.02785,0.6174,0.0584,86.42,0.0,42.98,0,0.0,68.48,0.0,11,6,1,5,0.984,-0.581,0.987
S1_Poisson,195,51.32,1.01874,187,49.21,1.04244,0.6264,0.0297,88.27,0.0,38.6,0,0.0,67.75,0.0,39,14,11,3,0.932,-0.906,0.936
S2_Dixon_Coles,195,51.32,1.01874,187,49.21,1.04244,0.6264,0.0297,88.27,0.0,38.6,0,0.0,67.75,0.0,39,14,11,3,0.932,-0.906,0.936
S4_Overdispersed_NB,195,51.32,1.02232,187,49.21,1.04614,0.6283,0.043,88.27,0.0,38.6,0,0.0,67.75,0.0,39,14,11,3,0.932,-0.909,0.935
C_PLAYER,203,53.42,0.99281,186,48.95,1.04607,0.6301,0.0844,82.1,0.0,46.49,0,0.0,67.39,0.0,26,11,9,2,0.979,-0.869,0.987
C_TACTICAL,180,47.37,1.06663,182,47.89,1.10641,0.6518,0.1135,74.07,13.46,42.11,39,35.9,60.87,13.46,84,28,30,-2,0.799,-0.296,0.806
C_HYBRID_RAW,169,44.47,1.1357,176,46.32,1.18794,0.6961,0.1462,69.75,13.46,42.98,46,30.43,58.7,13.46,92,29,37,-8,0.751,-0.223,0.772
IDFREE,200,52.63,0.99833,182,47.89,1.05664,0.6374,0.0767,79.63,0.0,46.49,1,0.0,65.94,0.0,35,13,15,-2,0.964,-0.707,0.969
WEAKPRIOR,200,52.63,0.99911,181,47.63,1.05834,0.6384,0.0874,80.25,0.0,44.74,1,0.0,65.58,0.0,32,11,14,-3,0.961,-0.685,0.966
HIER_DRAW,197,51.84,0.99895,183,48.16,1.04948,0.6325,0.0671,78.4,0.0,49.12,0,0.0,66.3,0.0,31,12,13,-1,0.986,-0.343,0.987
