gw,home,away,actual_outcome,m3_prediction,replacement_expert,replacement_prediction,router_confidence_margin,transition_type
15,Sunderland,West Ham United,0,2,C_PLAYER,2,0.2219,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Manchester City,2,2,C_PLAYER,2,0.3542,WRONG -> WRONG (0)
15,Manchester United,Arsenal,2,2,C_PLAYER,2,0.2922,WRONG -> WRONG (0)
15,Leeds United,Everton,0,2,C_PLAYER,2,0.1577,WRONG -> WRONG (0)
15,West Ham United,Chelsea,2,2,C_PLAYER,2,0.2151,WRONG -> WRONG (0)
15,Brentford,Aston Villa,0,0,C_PLAYER,2,0.1043,CORRECT -> WRONG (-1)
15,Fulham,Manchester United,1,0,C_PLAYER,0,0.1053,WRONG -> WRONG (0)
15,Newcastle United,Liverpool,2,2,C_PLAYER,2,0.1487,WRONG -> WRONG (0)
15,Sunderland,Brentford,0,2,C_PLAYER,2,0.2844,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Everton,2,0,C_PLAYER,0,0.0816,WRONG -> WRONG (0)
15,Leeds United,Newcastle United,1,2,C_PLAYER,2,0.2614,WRONG -> WRONG (0)
15,Brighton and Hove Albion,Manchester City,0,2,C_PLAYER,2,0.1781,WRONG -> WRONG (0)
15,Brentford,Chelsea,1,2,C_PLAYER,2,0.1621,WRONG -> WRONG (0)
15,Everton,Aston Villa,1,0,C_PLAYER,0,0.1224,WRONG -> WRONG (0)
15,Burnley,Liverpool,2,2,C_PLAYER,2,0.5307,WRONG -> WRONG (0)
15,Burnley,Nottingham Forest,1,2,C_PLAYER,2,0.2613,WRONG -> WRONG (0)
15,West Ham United,Crystal Palace,2,2,C_PLAYER,2,0.1285,WRONG -> WRONG (0)
15,Manchester United,Chelsea,0,2,C_PLAYER,2,0.1536,WRONG -> WRONG (0)
15,Sunderland,Aston Villa,1,2,C_PLAYER,2,0.3366,WRONG -> WRONG (0)
15,Bournemouth,Newcastle United,1,0,C_PLAYER,0,0.0866,WRONG -> WRONG (0)
15,Crystal Palace,Liverpool,0,2,C_PLAYER,2,0.2929,WRONG -> WRONG (0)
15,Leeds United,Bournemouth,1,2,C_PLAYER,2,0.1547,WRONG -> WRONG (0)
15,Newcastle United,Arsenal,2,2,C_PLAYER,0,0.1388,CORRECT -> WRONG (-1)
15,Chelsea,Liverpool,0,2,C_PLAYER,2,0.112,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Brighton and Hove Albion,1,2,C_PLAYER,2,0.2069,WRONG -> WRONG (0)
15,Brentford,Manchester City,2,2,C_PLAYER,2,0.2397,WRONG -> WRONG (0)
15,Fulham,Arsenal,2,2,C_PLAYER,2,0.3375,WRONG -> WRONG (0)
15,Nottingham Forest,Chelsea,2,2,C_PLAYER,2,0.1445,WRONG -> WRONG (0)
15,Sunderland,Wolverhampton Wanderers,0,0,C_PLAYER,2,0.1008,CORRECT -> WRONG (-1)
15,Tottenham,Aston Villa,2,2,C_PLAYER,2,0.1241,WRONG -> WRONG (0)
15,West Ham United,Brentford,2,0,C_PLAYER,2,0.0803,WRONG -> CORRECT (+1)
15,Brentford,Liverpool,0,2,C_PLAYER,2,0.2729,WRONG -> WRONG (0)
15,Aston Villa,Manchester City,0,2,C_PLAYER,0,0.1244,WRONG -> CORRECT (+1)
15,Tottenham,Chelsea,2,2,C_PLAYER,2,0.1452,WRONG -> WRONG (0)
15,Burnley,Arsenal,2,2,C_PLAYER,2,0.4975,WRONG -> WRONG (0)
15,West Ham United,Newcastle United,0,2,C_PLAYER,2,0.212,WRONG -> WRONG (0)
15,Sunderland,Everton,1,2,C_PLAYER,2,0.1675,WRONG -> WRONG (0)
15,Sunderland,Arsenal,1,2,C_PLAYER,2,0.4672,WRONG -> WRONG (0)
15,Brentford,Newcastle United,0,0,C_PLAYER,0,0.0912,WRONG -> WRONG (0)
15,Burnley,Chelsea,2,2,C_PLAYER,2,0.3802,WRONG -> WRONG (0)
15,Wolverhampton Wanderers,Crystal Palace,2,2,C_PLAYER,2,0.266,WRONG -> WRONG (0)
15,Newcastle United,Manchester City,0,2,C_PLAYER,2,0.2104,WRONG -> WRONG (0)
