gw,home,away,actual,previous_pred,hybridraw_pred,override_prob,transition
15,Sunderland,West Ham United,0,2,1,0.9888,WRONG -> WRONG (0)
15,Burnley,Sunderland,0,1,2,0.9904,WRONG -> WRONG (0)
15,Brentford,Aston Villa,0,1,1,0.9895,WRONG -> WRONG (0)
15,Sunderland,Brentford,0,2,1,0.9886,WRONG -> WRONG (0)
15,Tottenham,Bournemouth,2,1,1,0.9901,WRONG -> WRONG (0)
15,Leeds United,Newcastle United,1,1,1,0.9896,WRONG -> WRONG (0)
15,Nottingham Forest,West Ham United,2,0,1,0.9918,WRONG -> WRONG (0)
15,Newcastle United,Wolverhampton Wanderers,0,0,1,0.9919,CORRECT -> WRONG (-1)
15,Fulham,Brentford,0,2,1,0.9903,WRONG -> WRONG (0)
15,Arsenal,Manchester City,1,1,1,0.99,WRONG -> WRONG (0)
15,Brentford,Manchester United,0,1,2,0.9905,WRONG -> WRONG (0)
15,Chelsea,Brighton and Hove Albion,2,0,2,0.9911,WRONG -> CORRECT (+1)
15,Tottenham,Wolverhampton Wanderers,1,0,1,0.9902,WRONG -> CORRECT (+1)
15,Newcastle United,Arsenal,2,2,0,0.9895,CORRECT -> WRONG (-1)
15,Leeds United,Tottenham,2,2,0,0.989,CORRECT -> WRONG (-1)
15,Everton,Crystal Palace,0,2,2,0.9896,WRONG -> WRONG (0)
15,Fulham,Arsenal,2,2,0,0.9901,CORRECT -> WRONG (-1)
15,Nottingham Forest,Chelsea,2,2,0,0.9898,CORRECT -> WRONG (-1)
15,Crystal Palace,Bournemouth,1,0,1,0.9908,WRONG -> CORRECT (+1)
15,Sunderland,Wolverhampton Wanderers,0,0,1,0.9891,CORRECT -> WRONG (-1)
15,Leeds United,West Ham United,0,0,2,0.9899,CORRECT -> WRONG (-1)
15,Manchester United,Brighton and Hove Albion,0,1,1,0.9894,WRONG -> WRONG (0)
15,Brentford,Liverpool,0,2,0,0.9896,WRONG -> CORRECT (+1)
15,Aston Villa,Manchester City,0,2,2,0.9897,WRONG -> WRONG (0)
15,Fulham,Wolverhampton Wanderers,0,0,2,0.9907,CORRECT -> WRONG (-1)
15,Tottenham,Manchester United,1,0,1,0.9896,WRONG -> CORRECT (+1)
15,Manchester City,Liverpool,0,0,1,0.9899,CORRECT -> WRONG (-1)
15,Brighton and Hove Albion,Brentford,0,0,1,0.9903,CORRECT -> WRONG (-1)
15,Fulham,Sunderland,0,1,1,0.9906,WRONG -> WRONG (0)
15,West Ham United,Liverpool,2,2,1,0.9887,CORRECT -> WRONG (-1)
15,Bournemouth,Everton,2,0,1,0.9902,WRONG -> WRONG (0)
15,Fulham,Crystal Palace,2,1,2,0.9893,WRONG -> CORRECT (+1)
15,Liverpool,Brighton and Hove Albion,0,0,1,0.9916,CORRECT -> WRONG (-1)
15,West Ham United,Aston Villa,2,0,0,0.9896,WRONG -> WRONG (0)
15,Tottenham,Liverpool,2,2,1,0.9896,CORRECT -> WRONG (-1)
15,Everton,Arsenal,2,0,0,0.9905,WRONG -> WRONG (0)
15,Fulham,Nottingham Forest,0,0,1,0.9901,CORRECT -> WRONG (-1)
15,Manchester United,Newcastle United,0,0,1,0.9898,CORRECT -> WRONG (-1)
