gw,home,away,actual,core_pred,tactical_pred,override_prob,transition
15,Tottenham,Burnley,0,0,1,0.922,CORRECT -> WRONG (-1)
15,Chelsea,Crystal Palace,1,0,1,0.9266,WRONG -> CORRECT (+1)
15,Burnley,Sunderland,0,0,1,0.9114,CORRECT -> WRONG (-1)
15,Brentford,Aston Villa,0,0,1,0.9002,CORRECT -> WRONG (-1)
15,Crystal Palace,Nottingham Forest,1,0,2,0.9068,WRONG -> WRONG (0)
15,Tottenham,Bournemouth,2,0,1,0.9035,WRONG -> WRONG (0)
15,Leeds United,Newcastle United,1,2,1,0.9086,WRONG -> CORRECT (+1)
15,Burnley,Nottingham Forest,1,2,0,0.9137,WRONG -> WRONG (0)
15,Fulham,Brentford,0,0,2,0.9088,CORRECT -> WRONG (-1)
15,Arsenal,Manchester City,1,0,1,0.9083,WRONG -> CORRECT (+1)
15,Sunderland,Aston Villa,1,2,1,0.8942,WRONG -> CORRECT (+1)
15,Bournemouth,Newcastle United,1,0,1,0.8944,WRONG -> CORRECT (+1)
15,Brentford,Manchester United,0,0,1,0.9115,CORRECT -> WRONG (-1)
15,Crystal Palace,Liverpool,0,2,0,0.9166,WRONG -> CORRECT (+1)
15,Everton,Crystal Palace,0,0,2,0.8925,CORRECT -> WRONG (-1)
15,Brighton and Hove Albion,Newcastle United,0,0,2,0.9049,CORRECT -> WRONG (-1)
15,Manchester United,Brighton and Hove Albion,0,0,1,0.8995,CORRECT -> WRONG (-1)
15,Aston Villa,Manchester City,0,0,2,0.9134,CORRECT -> WRONG (-1)
15,Brentford,Newcastle United,0,0,2,0.9196,CORRECT -> WRONG (-1)
15,Fulham,Sunderland,0,0,1,0.9101,CORRECT -> WRONG (-1)
15,Wolverhampton Wanderers,Crystal Palace,2,2,0,0.9111,CORRECT -> WRONG (-1)
15,Crystal Palace,Manchester United,2,0,2,0.9151,WRONG -> CORRECT (+1)
15,Leeds United,Chelsea,0,2,1,0.8951,WRONG -> WRONG (0)
15,Brighton and Hove Albion,West Ham United,1,0,1,0.9227,WRONG -> CORRECT (+1)
