player,team,price,minutes_history,flag
Illan Meslier,Arsenal,5.0,0,ZERO_HISTORY_NEW_SIGNING
Fábio Ferreira Vieira,Arsenal,5.5,0,ZERO_HISTORY_NEW_SIGNING
Christos Tzolis,Arsenal,6.5,0,ZERO_HISTORY_NEW_SIGNING
Kosta Nedeljkovic,Aston Villa,4.0,0,ZERO_HISTORY_NEW_SIGNING
Samuel Iling-Junior,Aston Villa,5.0,0,ZERO_HISTORY_NEW_SIGNING
Johan Manzambi,Aston Villa,6.0,0,ZERO_HISTORY_NEW_SIGNING
Brian Madjo,Aston Villa,5.5,0,ZERO_HISTORY_NEW_SIGNING
Matteo Ruggeri,Aston Villa,4.5,0,ZERO_HISTORY_NEW_SIGNING
Zion Suzuki,Aston Villa,5.0,0,ZERO_HISTORY_NEW_SIGNING
Fraser Forster,Bournemouth,4.0,0,ZERO_HISTORY_NEW_SIGNING
Will Dennis,Bournemouth,4.0,0,ZERO_HISTORY_NEW_SIGNING
Julián Araujo Zúñiga,Bournemouth,4.5,0,ZERO_HISTORY_NEW_SIGNING
Álvaro Rodríguez,Bournemouth,6.0,0,ZERO_HISTORY_NEW_SIGNING
António João Pereira de Albuquerque Tavares da Silva,Bournemouth,5.0,0,ZERO_HISTORY_NEW_SIGNING
Juanlu Sánchez,Bournemouth,4.5,0,ZERO_HISTORY_NEW_SIGNING
Kim Ji-soo,Brentford,4.5,0,ZERO_HISTORY_NEW_SIGNING
Jannik Schuster,Brentford,4.5,0,ZERO_HISTORY_NEW_SIGNING
Jaidon Anthony,Brentford,6.0,0,ZERO_HISTORY_NEW_SIGNING
Callum Wilson,Brentford,5.5,0,ZERO_HISTORY_NEW_SIGNING
Mamadou Sangaré,Brentford,5.5,0,ZERO_HISTORY_NEW_SIGNING
Jason Steele,Brighton and Hove Albion,4.0,0,ZERO_HISTORY_NEW_SIGNING
João Pedro Loureiro da Costa,Brighton and Hove Albion,4.5,0,ZERO_HISTORY_NEW_SIGNING
Michael Svoboda,Brighton and Hove Albion,5.0,0,ZERO_HISTORY_NEW_SIGNING
Zadok Yohanna,Brighton and Hove Albion,5.0,0,ZERO_HISTORY_NEW_SIGNING
Evan Ferguson,Brighton and Hove Albion,5.0,0,ZERO_HISTORY_NEW_SIGNING
Luka Vušković,Brighton and Hove Albion,5.0,0,ZERO_HISTORY_NEW_SIGNING
Promise David,Brighton and Hove Albion,6.0,0,ZERO_HISTORY_NEW_SIGNING
Marco Palestra,Chelsea,5.5,0,ZERO_HISTORY_NEW_SIGNING
Axel Disasi,Chelsea,4.5,0,ZERO_HISTORY_NEW_SIGNING
Geovany Quenda,Chelsea,5.5,0,ZERO_HISTORY_NEW_SIGNING
Nicolas Jackson,Chelsea,6.5,0,ZERO_HISTORY_NEW_SIGNING
Emmanuel Emegha,Chelsea,5.0,0,ZERO_HISTORY_NEW_SIGNING
Mike Penders,Chelsea,4.5,0,ZERO_HISTORY_NEW_SIGNING
Aaron Anselmino,Chelsea,4.5,0,ZERO_HISTORY_NEW_SIGNING
Valentín Barco,Chelsea,5.5,0,ZERO_HISTORY_NEW_SIGNING
Mykhailo Mudryk,Chelsea,5.5,0,ZERO_HISTORY_NEW_SIGNING
Pep Chavarría,Chelsea,5.0,0,ZERO_HISTORY_NEW_SIGNING
Carl Rushworth,Coventry City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Oliver Dovin,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Ben Wilson,Coventry City,4.5,0,ZERO_HISTORY_NEW_SIGNING
Bobby Thomas,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Liam Kitching,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Milan van Ewijk,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Jay Dasilva,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Kaine Kesler-Hayden,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Jake Bidwell,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Joel Latibeaudiere,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Luke Woolfenden,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Miguel Brau,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
Aurèle Amenda,Coventry City,4.0,0,ZERO_HISTORY_NEW_SIGNING
