team,gw1_result,pre_elo,post_elo,delta_elo,pre_att,post_att,delta_att
Arsenal,H,1784.8,1785.5,0.7,1.164,1.289,0.125
Coventry City,H,1300.0,1299.3,-0.7,0.85,0.797,-0.053
Hull City,H,1418.3,1432.2,13.9,0.85,0.922,0.072
Manchester United,H,1662.1,1648.2,-13.9,1.155,1.056,-0.098
Everton,H,1554.6,1561.7,7.1,1.027,1.073,0.046
Crystal Palace,H,1550.7,1543.6,-7.1,1.164,1.064,-0.1
Ipswich Town,H,1407.9,1418.0,10.1,0.85,0.922,0.072
Sunderland,H,1510.6,1500.5,-10.1,0.897,0.898,0.002
Nottingham Forest,A,1558.8,1545.2,-13.6,0.993,0.919,-0.074
Leeds United,A,1527.4,1541.0,13.6,1.13,1.097,-0.033
Brentford,H,1585.4,1590.5,5.1,1.083,1.221,0.138
Tottenham,H,1499.0,1493.9,-5.1,0.939,0.873,-0.066
Brighton and Hove Albion,H,1595.3,1604.1,8.8,1.196,1.417,0.221
Aston Villa,H,1652.9,1644.1,-8.8,1.032,0.953,-0.08
Manchester City,H,1765.2,1769.2,4.0,1.53,1.5,-0.029
Bournemouth,H,1625.9,1621.9,-4.0,1.267,1.213,-0.054
Newcastle United,D,1580.3,1580.2,-0.1,1.114,1.147,0.033
Liverpool,D,1675.4,1675.5,0.1,1.032,1.15,0.118
Fulham,A,1563.6,1551.7,-11.9,0.999,1.049,0.05
Chelsea,A,1596.0,1607.9,11.9,1.123,1.364,0.241
