hist_weight,curr_weight,val_acc,val_ll,val_brier,hold_acc,hold_ll,hold_brier,hold_sp_60_acc,hold_sp_60_cnt
1.0,0.0,51.05,1.00277,0.60068,48.16,1.02979,0.619,67.16,67
0.9,0.1,50.79,1.00437,0.60171,48.68,1.03029,0.61934,67.35,49
0.8,0.2,49.74,1.00808,0.6038,48.16,1.03291,0.62066,62.96,27
0.7,0.3,49.74,1.01349,0.60695,48.16,1.03726,0.62295,83.33,12
0.6,0.4,49.21,1.02041,0.61116,47.63,1.04312,0.6262,0.0,0
0.5,0.5,48.95,1.02868,0.61643,47.89,1.05035,0.63043,0.0,0
0.4,0.6,47.89,1.03824,0.62277,47.89,1.05884,0.63563,0.0,0
0.3,0.7,47.11,1.04904,0.63016,47.63,1.06856,0.6418,0.0,0
0.2,0.8,43.95,1.06106,0.63861,43.42,1.07946,0.64894,0.0,0
0.1,0.9,40.79,1.07431,0.64813,42.63,1.09155,0.65705,0.0,0
0.0,1.0,40.79,1.0888,0.6587,42.63,1.10482,0.66613,0.0,0
