fpl_player_name,fpl_web_name,fpl_team_id,match_status,matched_fc26_name
Fábio Ferreira Vieira,Fábio Vieira,1,MATCHED,Fábio Vieira
Gabriel Fernando de Jesus,G.Jesus,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Gabriel dos Santos Magalhães,Gabriel,1,MATCHED,Gabriel
Kai Havertz,Havertz,1,MATCHED,Kai Havertz
Karl Hein,Hein,1,MATCHED,Karl Hein
Jurriën Timber,J.Timber,1,MATCHED,Jurriën Timber
Jorge Luiz Frello Filho,Jorginho,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jakub Kiwior,Kiwior,1,MATCHED,Jakub Kiwior
Gabriel Martinelli Silva,Martinelli,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ethan Nwaneri,Nwaneri,1,MATCHED,Ethan Nwaneri
Martin Ødegaard,Ødegaard,1,MATCHED,Martin Ødegaard
David Raya Martin,Raya,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Declan Rice,Rice,1,MATCHED,Declan Rice
Bukayo Saka,Saka,1,MATCHED,Bukayo Saka
William Saliba,Saliba,1,MATCHED,William Saliba
Thomas Partey,Thomas,1,MATCHED,Thomas Partey
Kieran Tierney,Tierney,1,MATCHED,Kieran Tierney
Tomiyasu Takehiro,Tomiyasu,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Leandro Trossard,Trossard,1,MATCHED,Leandro Trossard
Benjamin White,White,1,MATCHED,Benjamin White
Oleksandr Zinchenko,Zinchenko,1,MATCHED,Oleksandr Zinchenko
Norberto Murara Neto,Neto,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Raheem Sterling,Sterling,1,MATCHED,Raheem Sterling
Riccardo Calafiori,Calafiori,1,MATCHED,Riccardo Calafiori
Myles Lewis-Skelly,Lewis-Skelly,1,MATCHED,Myles Lewis-Skelly
Mikel Merino,Merino,1,MATCHED,Mikel Merino
Salah-Eddine Oulad M'hand,Oulad M'hand,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Tommy Setford,Setford,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Maldini Kacurri,Kacurri,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Ismeal Kabia,Kabia,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Josh Nichols,Nichols,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Nathan Butler-Oyedeji,Butler-Oyedeji,1,MATCHED,Nathan Butler-Oyedeji
Mikel Arteta,Arteta,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jack Porter,Porter,1,UNMATCHED_YOUTH_OR_NEW_SIGNING,N/A
Jimi Gower,Gower,1,MATCHED,Jimi Gower
