name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,season,gw,price,modified,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,pos,clean_name,s_idx,roll_mins_3,roll_mins_5,roll_pts_3,roll_pts_5,roll_xgi_5,roll_xg_5,roll_xa_5,roll_cs_5,roll_saves_5,exp_mins,p_start,xp_baseline_pts,xp_baseline_price,xp_baseline_xgi,xp_ennovera,starting_xi,is_captain,is_vice_captain
Armel Bella-Kotchap,DEF,Southampton,3.5,0,0,3,0,0.0,423,0.0,0.0,0.0,0.39,279,0,0,0.0,0.0,2023-03-18T15:00:00Z,7,18,0,0,0,0,28,0,25237,1,3,3,0.0,1,4068,5139,1071,45,True,0,2022-23,28,4.5,,,,,,,,,,,,,DEF,armel bella-kotchap,0,90.0,90.0,6.0,4.8,0.06799999999999974,0.024000000000000042,0.04400000000000022,0.6,0.0,90.0,1.0,6.6000000000000005,3.15,5.739999999999998,4.88,1,0,0
Gabriel dos Santos Magalhães,DEF,Arsenal,6.9,0,0,14,0,12.8,16,0.02,0.02,0.0,0.42,271,1,0,3.0,15.2,2023-03-19T14:00:00Z,85,7,0,0,0,0,28,0,1722239,1,1,4,2.0,2,117912,140428,22516,52,True,0,2022-23,28,5.2,,,,,,,,,,,,,DEF,gabriel dos santos magalhães,0,90.0,90.0,7.0,6.2,0.1739999999999995,0.15799999999999964,0.018000000000000224,0.6,0.0,90.0,1.0,7.680000000000001,3.6399999999999997,6.269999999999998,5.83,1,0,0
Gabriel Martinelli Silva,MID,Arsenal,9.1,0,0,25,0,4.3,19,0.04,0.15,0.11,0.42,271,1,1,6.2,34.6,2023-03-19T14:00:00Z,82,7,0,0,0,0,28,0,4429329,1,1,4,23.0,7,219407,266540,47133,66,True,0,2022-23,28,6.6,,,,,,,,,,,,,MID,gabriel martinelli silva,0,85.33333333333333,73.6,8.666666666666666,8.4,0.7659999999999993,0.6539999999999997,0.11600000000000021,0.6,0.0,80.63999999999999,1.0,9.573333333333334,4.619999999999999,6.8299999999999965,6.87,1,0,1
Gavin Bazunu,GK,Southampton,3.1,0,0,7,0,0.0,422,0.0,0.0,0.0,2.26,279,3,0,0.2,2.2,2023-03-18T15:00:00Z,90,18,0,0,0,0,28,0,80333,1,3,3,0.0,1,2116,4687,2571,45,True,0,2022-23,28,4.5,,,,,,,,,,,,,GK,gavin bazunu,0,90.0,90.0,4.666666666666667,5.2,0.0019999999999994007,0.0,0.0020000000000002334,0.6,2.6,90.0,1.0,5.533333333333334,3.15,5.409999999999997,5.39,1,0,0
Harry Kane,FWD,Spurs,7.3,0,0,27,0,2.8,427,0.07,0.84,0.77,2.4,279,3,1,8.1,32.2,2023-03-18T15:00:00Z,90,17,0,0,0,0,28,0,4868165,1,3,3,46.0,6,485899,507772,21873,118,False,0,2022-23,28,11.8,,,,,,,,,,,,,FWD,harry kane,0,90.0,90.0,7.0,5.6,0.47599999999999937,0.4059999999999997,0.0700000000000002,0.4,0.0,90.0,1.0,10.32,8.26,5.379999999999997,5.12,1,0,0
Ivan Toney,FWD,Brentford,5.8,0,0,3,0,1.8,80,0.04,0.2,0.16,1.35,273,1,0,2.5,3.2,2023-03-18T15:00:00Z,90,10,0,0,0,0,28,0,4712816,1,1,1,20.0,2,191534,266199,74665,78,True,0,2022-23,28,7.8,,,,,,,,,,,,,FWD,ivan toney,0,90.0,90.0,7.0,6.4,0.9699999999999994,0.7619999999999997,0.20800000000000005,0.2,0.0,90.0,1.0,8.72,5.46,7.849999999999997,7.14,1,1,0
Jack Harrison,MID,Leeds,7.0,0,2,27,0,4.8,233,0.0,0.27,0.27,2.86,280,2,1,6.6,39.6,2023-03-18T15:00:00Z,90,20,0,0,0,0,28,0,272595,1,4,2,22.0,9,65502,73422,7920,57,False,0,2022-23,28,5.7,,,,,,,,,,,,,MID,jack harrison,0,86.33333333333333,83.2,6.333333333333333,4.8,0.36599999999999927,0.25399999999999967,0.11000000000000007,0.4,0.0,85.08,1.0,7.346666666666667,3.9899999999999998,4.8299999999999965,4.32,0,0,0
James Tarkowski,DEF,Everton,2.4,1,0,20,0,10.1,199,0.0,0.04,0.04,2.37,275,2,0,8.0,60.6,2023-03-18T17:30:00Z,90,6,0,0,0,0,28,0,570391,1,2,2,9.0,4,-45206,13158,58364,43,False,0,2022-23,28,4.3,,,,,,,,,,,,,DEF,james tarkowski,0,90.0,90.0,2.3333333333333335,3.2,0.21599999999999922,0.10199999999999969,0.1160000000000001,0.4,0.0,90.0,1.0,3.586666666666667,3.01,5.679999999999996,4.77,1,0,0
James Ward-Prowse,MID,Southampton,2.9,0,3,32,0,72.9,407,0.15,1.12,0.97,2.26,279,3,1,16.5,60.8,2023-03-18T15:00:00Z,90,18,0,0,0,0,28,0,740244,1,3,3,31.0,10,15024,42499,27475,63,True,0,2022-23,28,6.3,,,,,,,,,,,,,MID,james ward-prowse,0,90.0,90.0,1.6666666666666667,3.4,0.3379999999999993,0.2219999999999997,0.1160000000000001,0.6,0.0,90.0,1.0,3.8533333333333335,4.409999999999999,4.689999999999996,4.45,0,0,0
Marcos Senesi,DEF,Bournemouth,3.0,0,0,16,0,14.0,576,0.01,0.03,0.02,3.2,272,3,0,3.6,16.8,2023-03-18T15:00:00Z,90,2,0,0,0,0,28,0,41282,1,0,3,5.0,0,21610,24829,3219,44,False,1,2022-23,28,4.4,,,,,,,,,,,,,DEF,marcos senesi,0,90.0,82.4,4.666666666666667,5.4,0.22399999999999914,0.21599999999999991,0.008000000000000023,0.4,0.0,86.96000000000001,1.0,5.493333333333334,3.08,5.719999999999995,5.15,1,0,0
