player,source_season,target_season,position,source_minutes,target_minutes,source_xg90,target_xg90,source_xa90,target_xa90
Aaron Cresswell,2014,2015,DEF,3420,3319,0.033,0.03,0.127,0.089
Aaron Cresswell,2015,2016,DEF,3319,2124,0.03,0.025,0.089,0.101
Aaron Cresswell,2016,2017,MID,2124,3081,0.025,0.02,0.101,0.097
Aaron Cresswell,2017,2018,DEF,3081,1586,0.02,0.024,0.097,0.053
Aaron Cresswell,2018,2019,DEF,1586,2739,0.024,0.034,0.053,0.099
Aaron Cresswell,2019,2020,DEF,2739,3176,0.034,0.025,0.099,0.209
Aaron Cresswell,2020,2021,DEF,3176,2734,0.025,0.03,0.209,0.121
Aaron Cresswell,2021,2022,DEF,2734,2231,0.03,0.017,0.121,0.128
Aaron Cresswell,2022,2023,DEF,2231,414,0.017,0.0,0.128,0.097
Aaron Cresswell,2023,2024,DEF,414,576,0.0,0.013,0.097,0.226
Aaron Hickey,2020,2021,DEF,766,2853,0.005,0.023,0.005,0.052
Aaron Hickey,2021,2022,FWD,2853,1958,0.023,0.015,0.052,0.029
Aaron Hickey,2022,2023,DEF,1958,749,0.015,0.023,0.029,0.006
Aaron Ramsdale,2019,2020,GK,3330,3420,0.0,0.0,0.014,0.002
Aaron Ramsdale,2020,2021,GK,3420,3060,0.0,0.0,0.002,0.0
Aaron Ramsdale,2021,2022,GK,3060,3420,0.0,0.0,0.0,0.0
Aaron Ramsdale,2022,2023,GK,3420,540,0.0,0.0,0.0,0.0
Aaron Ramsdale,2023,2024,GK,540,1980,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,2017,2018,DEF,630,3136,0.0,0.011,0.031,0.066
Aaron Wan-Bissaka,2018,2019,DEF,3136,3075,0.011,0.024,0.066,0.102
Aaron Wan-Bissaka,2019,2020,DEF,3075,3060,0.024,0.027,0.102,0.075
Aaron Wan-Bissaka,2020,2021,DEF,3060,1795,0.027,0.014,0.075,0.046
Aaron Wan-Bissaka,2021,2022,MID,1795,1436,0.014,0.073,0.046,0.072
Aaron Wan-Bissaka,2022,2023,DEF,1436,1784,0.073,0.007,0.072,0.072
Aaron Wan-Bissaka,2023,2024,DEF,1784,2526,0.007,0.041,0.072,0.095
Abdoulaye Doucouré,2014,2015,MID,2753,2097,0.224,0.123,0.119,0.109
Abdoulaye Doucouré,2015,2016,MID,2097,1349,0.123,0.126,0.109,0.028
Abdoulaye Doucouré,2016,2017,MID,1349,3326,0.126,0.084,0.028,0.065
Abdoulaye Doucouré,2017,2018,MID,3326,3062,0.084,0.201,0.065,0.158
Abdoulaye Doucouré,2018,2019,MID,3062,3189,0.201,0.149,0.158,0.115
Abdoulaye Doucouré,2019,2020,MID,3189,2468,0.149,0.086,0.115,0.087
Abdoulaye Doucouré,2020,2021,MID,2468,2540,0.086,0.094,0.087,0.086
Abdoulaye Doucouré,2021,2022,MID,2540,1519,0.094,0.19,0.086,0.146
Abdoulaye Doucouré,2022,2023,MID,1519,2678,0.19,0.343,0.146,0.086
Abdoulaye Doucouré,2023,2024,MID,2678,2115,0.343,0.116,0.086,0.086
Abduqodir Khusanov,2023,2024,DEF,819,1484,0.021,0.014,0.008,0.024
Adam Armstrong,2021,2022,FWD,1412,1333,0.27,0.165,0.104,0.117
Adam Lallana,2014,2015,FWD,1802,2115,0.238,0.15,0.157,0.24
Adam Lallana,2015,2016,MID,2115,2371,0.15,0.171,0.24,0.156
Adam Lallana,2018,2019,MID,459,362,0.06,0.201,0.106,0.163
Adam Lallana,2019,2020,FWD,362,1572,0.201,0.092,0.163,0.151
Adam Lallana,2020,2021,FWD,1572,1568,0.092,0.051,0.151,0.053
Adam Lallana,2021,2022,FWD,1568,742,0.051,0.145,0.053,0.117
Adam Lallana,2022,2023,MID,742,875,0.145,0.079,0.117,0.153
Adam Lallana,2023,2024,MID,875,342,0.079,0.04,0.153,0.146
Adam Smith,2015,2016,DEF,2085,3094,0.021,0.04,0.048,0.14
Adam Smith,2016,2017,DEF,3094,2067,0.04,0.019,0.14,0.064
Adam Smith,2017,2018,DEF,2067,2080,0.019,0.026,0.064,0.025
Adam Smith,2018,2019,DEF,2080,2078,0.026,0.03,0.025,0.055
Adam Smith,2022,2023,DEF,2957,2185,0.03,0.002,0.043,0.06
Adam Smith,2023,2024,DEF,2185,1103,0.002,0.022,0.06,0.015
Adam Webster,2019,2020,DEF,2668,2596,0.053,0.044,0.037,0.009
Adam Webster,2020,2021,DEF,2596,1419,0.044,0.094,0.009,0.002
Adam Webster,2021,2022,DEF,1419,2000,0.094,0.069,0.002,0.023
Adam Webster,2022,2023,DEF,2000,1146,0.069,0.036,0.023,0.017
Adam Webster,2023,2024,DEF,1146,618,0.036,0.002,0.017,0.056
Adam Wharton,2023,2024,MID,1333,942,0.024,0.025,0.173,0.183
Adama Traoré,2018,2019,FWD,879,2596,0.129,0.129,0.226,0.262
Adama Traoré,2019,2020,FWD,2596,2630,0.129,0.071,0.262,0.18
Adama Traoré,2020,2021,FWD,2630,1422,0.071,0.219,0.18,0.16
Adama Traoré,2021,2022,FWD,1422,1452,0.219,0.088,0.16,0.195
Adama Traoré,2022,2023,FWD,1452,310,0.088,0.433,0.195,0.204
Adama Traoré,2023,2024,MID,310,1473,0.433,0.33,0.204,0.336
Albert Sambi Lokonga,2021,2022,FWD,1125,732,0.047,0.016,0.067,0.006
Albert Sambi Lokonga,2022,2023,MID,732,1331,0.016,0.051,0.006,0.101
Alejandro Garnacho,2022,2023,MID,555,2601,0.629,0.341,0.185,0.205
Alejandro Garnacho,2023,2024,MID,2601,1715,0.341,0.426,0.205,0.129
Alex Iwobi,2015,2016,MID,639,1471,0.218,0.197,0.213,0.136
Alex Iwobi,2016,2017,FWD,1471,1873,0.197,0.199,0.136,0.167
Alex Iwobi,2017,2018,MID,1873,1974,0.199,0.17,0.167,0.348
Alex Iwobi,2018,2019,MID,1974,1637,0.17,0.136,0.348,0.122
Alex Iwobi,2019,2020,MID,1637,1536,0.136,0.049,0.122,0.126
Alex Iwobi,2020,2021,FWD,1536,2041,0.049,0.106,0.126,0.135
Alex Iwobi,2021,2022,DEF,2041,3388,0.106,0.073,0.135,0.163
