club,manager_in,date,season,prior_pts_5gm,post_pts_5gm,impact_short_term
Chelsea,Enzo Maresca,2024-07-01,2024-25,12,10,-2
Liverpool,Arne Slot,2024-07-01,2024-25,11,15,4
Brighton,Fabian Hurzeler,2024-07-01,2024-25,5,8,3
Tottenham,Ange Postecoglou,2023-07-01,2023-24,4,13,9
Aston Villa,Unai Emery,2022-11-01,2022-23,3,10,7
Chelsea,Mauricio Pochettino,2023-07-01,2023-24,5,5,0
Bournemouth,Andoni Iraola,2023-07-01,2023-24,6,3,-3
Wolves,Gary O'Neil,2023-08-09,2023-24,4,4,0
Crystal Palace,Oliver Glasner,2024-02-19,2023-24,4,8,4
Everton,Sean Dyche,2023-01-30,2022-23,1,6,5
