player,team,position,category,price,source_minutes,translated_xg90,translated_xa90,translated_xgi90,expected_minutes_prior,uncertainty,translation_method
Illan Meslier,Arsenal,GK,Mid-Tier Domestic / European Transfer,5.0,1800,0.061,0.051,0.112,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Fábio Ferreira Vieira,Arsenal,MID,Mid-Tier Domestic / European Transfer,5.5,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Christos Tzolis,Arsenal,MID,Mid-Tier Domestic / European Transfer,6.5,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Kosta Nedeljkovic,Aston Villa,DEF,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Samuel Iling-Junior,Aston Villa,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Johan Manzambi,Aston Villa,MID,Mid-Tier Domestic / European Transfer,6.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Brian Madjo,Aston Villa,FWD,Mid-Tier Domestic / European Transfer,5.5,1800,0.206,0.101,0.307,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Matteo Ruggeri,Aston Villa,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Zion Suzuki,Aston Villa,GK,Mid-Tier Domestic / European Transfer,5.0,1800,0.061,0.051,0.112,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Fraser Forster,Bournemouth,GK,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Will Dennis,Bournemouth,GK,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Julián Araujo Zúñiga,Bournemouth,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Álvaro Rodríguez,Bournemouth,FWD,Mid-Tier Domestic / European Transfer,6.0,1800,0.206,0.101,0.307,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
António João Pereira de Albuquerque Tavares da Silva,Bournemouth,DEF,Mid-Tier Domestic / European Transfer,5.0,1800,0.061,0.051,0.112,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Juanlu Sánchez,Bournemouth,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Kim Ji-soo,Brentford,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Jannik Schuster,Brentford,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Jaidon Anthony,Brentford,MID,Mid-Tier Domestic / European Transfer,6.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
