season,fixture_id,kickoff_time,team,opponent,was_home,player_name,position,is_starter,minutes_played,source,temporal_validity
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Bukayo Saka,MID,1,81,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,William Saliba,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Aaron Ramsdale,GK,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Granit Xhaka,MID,1,71,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Jorge Luiz Frello Filho,MID,1,45,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Oleksandr Zinchenko,DEF,1,81,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Leandro Trossard,MID,1,71,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Benjamin White,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Gabriel Martinelli Silva,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Gabriel dos Santos MagalhÃ£es,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Arsenal,8,True,Martin Ãdegaard,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Vitalii Mykolenko,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Amadou Onana,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Dwight McNeil,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Alex Iwobi,MID,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Idrissa Gueye,MID,1,45,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Michael Keane,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,James Tarkowski,DEF,1,90,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
2022-23,61,2023-03-01T19:45:00Z,Everton,1,False,Neal Maupay,FWD,1,60,FPL Official Lineup Logs,VERIFIED_1_HOUR_PRE_KICKOFF
