canonical_player_id,season,fpl_id,fc_id,fpl_name,fpl_web_name,matched_fc_name,team_id,match_confidence,mapping_method
1,2022-23,3,199503,Granit Xhaka,Xhaka,Granit Xhaka,1,EXACT,Deterministic Normalized Name Match
2,2022-23,4,N/A,Mohamed Elneny,Elneny,Mohamed Elneny,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
3,2022-23,5,228295,Rob Holding,Holding,Rob Holding,1,EXACT,Deterministic Normalized Name Match
4,2022-23,6,209989,Thomas Partey,Partey,Thomas Partey,1,EXACT,Deterministic Normalized Name Match
5,2022-23,7,222665,Martin Ãdegaard,Ãdegaard,Martin Ødegaard,1,EXACT,Deterministic Normalized Name Match
6,2022-23,8,226491,Kieran Tierney,Tierney,Kieran Tierney,1,EXACT,Deterministic Normalized Name Match
7,2022-23,9,226110,Nicolas PÃ©pÃ©,PÃ©pÃ©,Nicolas Pépé,1,EXACT,Deterministic Normalized Name Match
8,2022-23,10,231936,Benjamin White,White,Benjamin White,1,EXACT,Deterministic Normalized Name Match
9,2022-23,11,236988,Eddie Nketiah,Nketiah,Eddie Nketiah,1,EXACT,Deterministic Normalized Name Match
10,2022-23,12,240273,Emile Smith Rowe,Smith Rowe,Emile Smith Rowe,1,EXACT,Deterministic Normalized Name Match
11,2022-23,13,246669,Bukayo Saka,Saka,Bukayo Saka,1,EXACT,Deterministic Normalized Name Match
12,2022-23,14,N/A,Takehiro Tomiyasu,Tomiyasu,Takehiro Tomiyasu,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
13,2022-23,15,233934,Aaron Ramsdale,Ramsdale,Aaron Ramsdale,1,EXACT,Deterministic Normalized Name Match
14,2022-23,16,232580,Gabriel dos Santos MagalhÃ£es,Gabriel,Gabriel,1,HIGH_CONFIDENCE,Deterministic Normalized Name Match
15,2022-23,17,N/A,Nuno Varela Tavares,Tavares,Nuno Varela Tavares,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
16,2022-23,19,N/A,Gabriel Martinelli Silva,Martinelli,Gabriel Martinelli Silva,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
17,2022-23,20,206654,Pablo MarÃ­ Villar,Pablo MarÃ­,Pablo Marí,1,HIGH_CONFIDENCE,Deterministic Normalized Name Match
18,2022-23,22,N/A,Lucas Torreira di Pascua,Torreira,Lucas Torreira di Pascua,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
19,2022-23,23,231448,Reiss Nelson,Nelson,Reiss Nelson,1,EXACT,Deterministic Normalized Name Match
20,2022-23,24,233267,Matt Turner,Turner,Matt Turner,1,EXACT,Deterministic Normalized Name Match
21,2022-23,25,256958,FÃ¡bio Ferreira Vieira,FÃ¡bio Vieira,Fábio Vieira,1,HIGH_CONFIDENCE,Deterministic Normalized Name Match
22,2022-23,26,243715,William Saliba,Saliba,William Saliba,1,EXACT,Deterministic Normalized Name Match
23,2022-23,27,270478,Marcus Oliveira Alencar,Marquinhos,Marquinhos,1,HIGH_CONFIDENCE,Deterministic Normalized Name Match
24,2022-23,28,N/A,Gabriel Fernando de Jesus,Jesus,Gabriel Fernando de Jesus,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
25,2022-23,111,207421,Leandro Trossard,Trossard,Leandro Trossard,1,EXACT,Deterministic Normalized Name Match
26,2022-23,130,N/A,Jorge Luiz Frello Filho,Jorginho,Jorge Luiz Frello Filho,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
27,2022-23,313,227813,Oleksandr Zinchenko,Zinchenko,Oleksandr Zinchenko,1,EXACT,Deterministic Normalized Name Match
28,2022-23,607,247731,Matthew Smith,Smith,Matthew Smith,1,EXACT,Deterministic Normalized Name Match
29,2022-23,630,271807,Ethan Nwaneri,Nwaneri,Ethan Nwaneri,1,EXACT,Deterministic Normalized Name Match
30,2022-23,631,N/A,Lino Sousa,Sousa,Lino Sousa,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
31,2022-23,655,248732,Karl Hein,Hein,Karl Hein,1,EXACT,Deterministic Normalized Name Match
32,2022-23,668,271743,Amario Cozier-Duberry,Cozier-Duberry,Amario Cozier-Duberry,1,EXACT,Deterministic Normalized Name Match
33,2022-23,685,273926,Nathan Butler-Oyedeji,Butler-Oyedeji,Nathan Butler-Oyedeji,1,EXACT,Deterministic Normalized Name Match
34,2022-23,710,265693,Jakub Kiwior,Kiwior,Jakub Kiwior,1,EXACT,Deterministic Normalized Name Match
35,2022-23,751,274387,Reuell Walters,Walters,Reuell Walters,1,EXACT,Deterministic Normalized Name Match
36,2022-23,767,N/A,Mauro Bandeira,Bandeira,Mauro Bandeira,1,UNMATCHED_RESERVE,Deterministic Normalized Name Match
37,2022-23,29,N/A,Philippe Coutinho Correia,Coutinho,Philippe Coutinho Correia,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
38,2022-23,31,N/A,Emiliano MartÃ­nez Romero,MartÃ­nez,Emiliano MartÃ­nez Romero,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
39,2022-23,32,205989,Calum Chambers,Chambers,Calum Chambers,2,EXACT,Deterministic Normalized Name Match
40,2022-23,33,200458,Lucas Digne,Digne,Lucas Digne,2,EXACT,Deterministic Normalized Name Match
41,2022-23,34,207948,Bertrand TraorÃ©,TraorÃ©,Bertrand Traoré,2,EXACT,Deterministic Normalized Name Match
42,2022-23,35,207557,Robin Olsen,Olsen,Robin Olsen,2,EXACT,Deterministic Normalized Name Match
43,2022-23,36,210896,Morgan Sanson,Sanson,Morgan Sanson,2,EXACT,Deterministic Normalized Name Match
44,2022-23,37,210881,John McGinn,McGinn,John McGinn,2,EXACT,Deterministic Normalized Name Match
45,2022-23,38,N/A,Kortney Hause,Hause,Kortney Hause,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
46,2022-23,39,212419,Tyrone Mings,Mings,Tyrone Mings,2,EXACT,Deterministic Normalized Name Match
47,2022-23,40,221697,Ollie Watkins,Watkins,Ollie Watkins,2,EXACT,Deterministic Normalized Name Match
48,2022-23,41,222994,Marvelous Nakamba,Nakamba,Marvelous Nakamba,2,EXACT,Deterministic Normalized Name Match
49,2022-23,42,N/A,Emiliano BuendÃ­a Stati,BuendÃ­a,Emiliano BuendÃ­a Stati,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
50,2022-23,43,227174,Matty Cash,Cash,Matty Cash,2,EXACT,Deterministic Normalized Name Match
51,2022-23,44,N/A,Ezri Konsa Ngoyo,Konsa,Ezri Konsa Ngoyo,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
52,2022-23,45,229906,Leon Bailey,Bailey,Leon Bailey,2,EXACT,Deterministic Normalized Name Match
53,2022-23,46,236499,Douglas Luiz Soares de Paulo,Douglas Luiz,Douglas Luiz,2,HIGH_CONFIDENCE,Deterministic Normalized Name Match
54,2022-23,47,246923,Jacob Ramsey,Ramsey,Jacob Ramsey,2,EXACT,Deterministic Normalized Name Match
55,2022-23,49,266609,Tim Iroegbunam,Iroegbunam,Tim Iroegbunam,2,EXACT,Deterministic Normalized Name Match
56,2022-23,50,219693,Diego Carlos Santos Silva,Diego Carlos,Diego Carlos,2,HIGH_CONFIDENCE,Deterministic Normalized Name Match
57,2022-23,51,N/A,Anwar El Ghazi,El Ghazi,Anwar El Ghazi,2,UNMATCHED_RESERVE,Deterministic Normalized Name Match
