snapshot_id,track,season,gameweek,fixture_id,generated_at,snapshot_created_at,planned_cutoff_at,official_freeze_at,stage,canonical_evaluation_eligible,model_hash,feature_hash,prediction_hash,commit,supersedes,superseded_by,validity_reason
PL_2026_27_GW03_ARS_BHA_20260827,PL,2026-27,3,PL_2026_27_GW03_01,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T10:30:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,b52c9a1d,c83d1e4f,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_BRE_SOU_20260827,PL,2026-27,3,PL_2026_27_GW03_02,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T13:00:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,f48a1d2c,a73e2c1b,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_EVE_BOU_20260827,PL,2026-27,3,PL_2026_27_GW03_03,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T13:00:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,e19c4b3a,d64f3a2c,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_IPS_FUL_20260827,PL,2026-27,3,PL_2026_27_GW03_04,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T13:00:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,7d1a2e3f,c39f8a1b,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_LEI_AVL_20260827,PL,2026-27,3,PL_2026_27_GW03_05,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T13:00:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,4c8e1a2b,b29f7d3a,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_NFO_WOL_20260827,PL,2026-27,3,PL_2026_27_GW03_06,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T13:00:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,a93e1b2c,f84c2a1d,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_WHU_MCI_20260827,PL,2026-27,3,PL_2026_27_GW03_07,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T15:30:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,2b8c4d1e,e17f9a2c,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_CHE_CRY_20260827,PL,2026-27,3,PL_2026_27_GW03_08,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-30T11:30:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,d41a9e2b,3c8e1f4a,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_NEW_TOT_20260827,PL,2026-27,3,PL_2026_27_GW03_09,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-30T11:30:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,6f8e2b1c,9d1c4a2e,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
PL_2026_27_GW03_MUN_LIV_20260827,PL,2026-27,3,PL_2026_27_GW03_10,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-30T14:00:00Z,NONE_EARLY,INVALID_COMPETITION_FIXTURE_SOURCE,False,2e1f294dbf47cd70,1a9f4c2d,8e2b7d1a,09b83d0,NONE,PENDING_T60,2024_25_HISTORICAL_TEMPLATE_LOADED_INSTEAD_OF_2026_27_SEASON
FPL_2026_27_GW03_20260827,FPL,2026-27,3,ALL_GW03,2026-08-27T21:54:00Z,2026-08-27T21:54:00Z,2026-08-29T10:00:00Z,NONE_EARLY,QUARANTINED_PENDING_FIXTURE_SOURCE_AUDIT,False,7d4bac2af06b06c1,4a5c6d7e,9a8b7c6d,09b83d0,NONE,PENDING_FINAL,EARLY_PLAN_GENERATED_ON_OUTDATED_FIXTURE_CONTEXT
