component,arsenal_raw,arsenal_weight,arsenal_contrib,city_raw,city_weight,city_contrib,delta_arsenal_minus_city
2025-26 Season (Attack),+0.380,48.0%,+0.1824,+0.420,45.0%,+0.1890,-0.0066
2025-26 Season (Defence),-0.400,48.0%,-0.1920,-0.380,45.0%,-0.1710,-0.0210 (Superior)
2024-25 Season (Attack),+0.360,22.0%,+0.0792,+0.440,22.0%,+0.0968,-0.0176
2024-25 Season (Defence),-0.380,22.0%,-0.0836,-0.360,22.0%,-0.0792,-0.0044 (Superior)
2023-24 Season (Attack),+0.340,11.0%,+0.0374,+0.450,12.0%,+0.0540,-0.0166
2023-24 Season (Defence),-0.360,11.0%,-0.0396,-0.350,12.0%,-0.0420,+0.0024
Older History (>3 Seasons),+0.300 / -0.320,4.0%,+0.0120 / -0.0128,+0.460 / -0.380,6.0%,+0.0276 / -0.0228,-0.0156 / +0.0100
Current Squad & Expected XI,+0.390 / -0.410,15.0%,+0.0585 / -0.0615,+0.430 / -0.370,15.0%,+0.0645 / -0.0555,-0.0060 / -0.0060
FINAL PRESEASON ATTACK PRIOR,+0.380,100.0%,+0.3800,+0.420,100.0%,+0.4200,-0.0400 (City +0.04)
FINAL PRESEASON DEFENCE PRIOR,-0.400,100.0%,-0.4000,-0.380,100.0%,-0.3800,-0.0200 (Arsenal +0.02)
FINAL COMBINED PRESEASON STRENGTH,+0.780,100.0%,+0.7800,+0.800,100.0%,+0.8000,-0.0200 (City +0.02)
