model,acc,correct_picks,rps,log_loss,brier,ece,status
C9 (Control),0.5921,900,0.173,0.863,0.498,0.006,CONTROL_BASELINE
C10-A1 (C9 + Raw Form5),0.5914,899,0.1734,0.8652,0.4991,0.008,REJECTED_NOISE
C10-A2 (C9 + Raw Form10),0.5928,901,0.1731,0.8635,0.4982,0.007,MARGINAL_FLAT
C10-A3 (C9 + Raw Form5+10),0.5921,900,0.1732,0.864,0.4985,0.008,REJECTED
C10-A4 (C9 + OAF5),0.5934,902,0.1728,0.8622,0.4974,0.006,POSITIVE_DIRECTIONAL
C10-A5 (C9 + OAF10),0.5941,903,0.1725,0.8614,0.4968,0.005,POSITIVE_DIRECTIONAL
C10-A6 (C9 + OAF5+10),0.5947,904,0.1723,0.8608,0.4962,0.005,STRONG_CANDIDATE
C10-A7 (C9 + OAF5 + Venue),0.5941,903,0.1725,0.8615,0.4969,0.005,POSITIVE_DIRECTIONAL
C10-A8 (C9 + OAF10 + Venue),0.5954,905,0.1721,0.8601,0.4955,0.005,STRONG_CANDIDATE
C10-A9 (Best Combination),0.5961,906,0.1718,0.8592,0.4948,0.005,SUPPORTED_CHALLENGER
