latent_component,feature,weight,provenance,fold,optimization
MID_CONTROL,Possession_Resid,0.4,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_CONTROL,Pass_Completion_Resid,0.3,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_CONTROL,Field_Tilt_Resid,0.3,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_PROGRESSION,Prog_Passes_Diff,0.4,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_PROGRESSION,Prog_Carries_Diff,0.3,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_PROGRESSION,Final_Third_Entries_Diff,0.3,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_DISRUPTION,PAdj_Tackles_Int,0.5,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_DISRUPTION,Midfield_Recoveries,0.3,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_DISRUPTION,Ground_Duel_Win_Rate,0.2,VALIDATION_SELECTED,2022-23/2023-24,Ridge Grid on Val RPS
MID_TOTAL,MID_CONTROL,0.35,VALIDATION_SELECTED,2022-23/2023-24,Constrained OLS on Val RPS
MID_TOTAL,MID_PROGRESSION,0.4,VALIDATION_SELECTED,2022-23/2023-24,Constrained OLS on Val RPS
MID_TOTAL,MID_DISRUPTION,0.25,VALIDATION_SELECTED,2022-23/2023-24,Constrained OLS on Val RPS
