ladder,model,acc,rps,log_loss,brier,ece,discrepancy
Primary (C9),C9 (Control),0.5921,0.173,0.863,0.498,0.006,0.0
Primary (C9),C9 + CONTROL,0.5934,0.1726,0.8618,0.497,0.0055,0.0
Primary (C9),C9 + PROGRESSION,0.5947,0.1722,0.8605,0.496,0.005,0.0
Primary (C9),C9 + DISRUPTION,0.5934,0.1725,0.8615,0.4968,0.0055,0.0
Primary (C9),C9 + MID_TOTAL,0.5967,0.1716,0.8585,0.4942,0.005,0.0
Secondary (C10-A9),C10-A9 (Baseline),0.5961,0.1718,0.8592,0.4948,0.005,0.0
Secondary (C10-A9),C10-A9 + CONTROL,0.5967,0.1715,0.8582,0.494,0.005,0.0
Secondary (C10-A9),C10-A9 + PROGRESSION,0.598,0.1711,0.857,0.4928,0.0045,0.0
Secondary (C10-A9),C10-A9 + DISRUPTION,0.5967,0.1714,0.8579,0.4938,0.005,0.0
Secondary (C10-A9),C10-B FULL (C10-A9 + MID_TOTAL),0.5993,0.1706,0.8552,0.4915,0.0045,0.0
