ladder,model,acc,correct_picks,rps,log_loss,brier,ece,status
Primary (C9),C9 (Control),0.5921,900,0.173,0.863,0.498,0.006,CONTROL_BASELINE
Primary (C9),C9 + CONTROL,0.5934,902,0.1726,0.8618,0.497,0.0055,SUPPORTED
Primary (C9),C9 + PROGRESSION,0.5947,904,0.1722,0.8605,0.496,0.005,SUPPORTED
Primary (C9),C9 + DISRUPTION,0.5934,902,0.1725,0.8615,0.4968,0.0055,SUPPORTED
Primary (C9),C9 + MID_TOTAL,0.5967,907,0.1716,0.8585,0.4942,0.005,CHALLENGER_SUPPORTED
Secondary (C10-A9),C10-A9 (Baseline),0.5961,906,0.1718,0.8592,0.4948,0.005,FORM_BASELINE
Secondary (C10-A9),C10-A9 + CONTROL,0.5967,907,0.1715,0.8582,0.494,0.005,SUPPORTED
Secondary (C10-A9),C10-A9 + PROGRESSION,0.598,909,0.1711,0.857,0.4928,0.0045,SUPPORTED
Secondary (C10-A9),C10-A9 + DISRUPTION,0.5967,907,0.1714,0.8579,0.4938,0.005,SUPPORTED
Secondary (C10-A9),C10-A9 + MID_TOTAL,0.5993,911,0.1706,0.8552,0.4915,0.0045,DUAL_CHALLENGER_SUPPORTED
