model,acc,correct_picks,rps,log_loss,brier,ece,goals_mae,cs_brier,btts_brier
C9,0.5921,900,0.173,0.863,0.498,0.006,0.842,0.384,0.245
C10-A9,0.5961,906,0.1718,0.8592,0.4948,0.005,0.835,0.378,0.241
C10-B FULL,0.5993,911,0.1706,0.8552,0.4915,0.0045,0.828,0.372,0.237
C10-C1 (C10-B + Style Profile),0.6,912,0.1702,0.854,0.4905,0.0045,0.825,0.37,0.235
C10-C2 (C10-B + Press/Buildup),0.6007,913,0.1699,0.853,0.4895,0.0045,0.822,0.368,0.234
C10-C3 (C10-B + Transition/Line),0.6013,914,0.1696,0.8522,0.4888,0.004,0.819,0.366,0.232
C10-C4 (C10-B + Control/Progression),0.6007,913,0.1699,0.8532,0.4896,0.0045,0.823,0.369,0.234
C10-C5 (C10-B + Directness/Block),0.6,912,0.1701,0.8538,0.4902,0.0045,0.824,0.37,0.235
C10-C6 (C10-B + Attack/Defence Env),0.602,915,0.1693,0.851,0.4878,0.004,0.812,0.363,0.23
C10-C7 (Best Single: M2+M6 Transition),0.6013,914,0.1696,0.8522,0.4888,0.004,0.819,0.366,0.232
C10-C8 (Parsimonious Combination),0.6026,916,0.1691,0.8502,0.487,0.004,0.808,0.362,0.229
C10-C9 (Final Regularized C10-C),0.6033,917,0.1688,0.8492,0.4862,0.004,0.805,0.361,0.229
