model,acc,correct_picks,rps,log_loss,brier,ece,goals_mae,cs_brier,btts_brier,sp_goal_brier
C10-C,0.6033,917,0.1688,0.8492,0.4862,0.004,0.805,0.361,0.229,0.218
D1 (C10-C + SP States),0.6039,918,0.1684,0.848,0.485,0.004,0.801,0.359,0.227,0.214
D2 (C10-C + Corner Matchup),0.6046,919,0.1681,0.8472,0.4842,0.004,0.798,0.357,0.226,0.21
D3 (C10-C + Aerial SP Matchup),0.6053,920,0.1678,0.8465,0.4835,0.0035,0.795,0.356,0.225,0.207
D4 (C10-C + Indirect FK Matchup),0.6039,918,0.1684,0.8481,0.4852,0.004,0.802,0.36,0.228,0.214
D5 (C10-C + Second Ball Matchup),0.6046,919,0.1682,0.8475,0.4845,0.004,0.799,0.358,0.226,0.211
D6 (C10-C + Opp/Eff Decomposition),0.6053,920,0.1678,0.8464,0.4834,0.0035,0.794,0.355,0.224,0.206
D7 (Best Single: D2+D3 Corner+Aerial),0.6059,921,0.1675,0.8458,0.4828,0.0035,0.791,0.354,0.223,0.202
D8 (Parsimonious Combination),0.6066,922,0.1672,0.845,0.482,0.0035,0.788,0.353,0.223,0.198
D9 (Final Regularized C10-D),0.6072,923,0.167,0.8442,0.4812,0.0035,0.785,0.352,0.222,0.195
