player_id,player,club,pos,price,gw1_xp,gw2_xp,delta,attack_delta,defence_delta,style_delta,sp_delta
1,David Raya Martín,Arsenal,GK,6.0,3.91,4.1,0.19,-0.09,0.27,0.12,0.03
2,Kepa Arrizabalaga Revuelta,Arsenal,GK,5.0,3.85,3.76,-0.09,-0.24,-0.27,0.18,0.03
3,Illan Meslier,Arsenal,GK,5.0,3.48,3.4,-0.08,-0.34,0.28,0.17,-0.09
4,Gabriel dos Santos Magalhães,Arsenal,DEF,8.0,4.9,4.67,-0.23,-0.22,-0.12,0.01,-0.02
5,Jurriën Timber,Arsenal,DEF,6.5,4.35,4.19,-0.16,0.08,-0.22,-0.1,-0.04
6,William Saliba,Arsenal,DEF,6.0,3.83,3.96,0.13,0.2,-0.18,0.01,0.03
7,Myles Lewis-Skelly,Arsenal,MID,5.5,4.76,4.65,-0.11,0.08,-0.2,-0.22,0.13
8,Riccardo Calafiori,Arsenal,DEF,5.6,3.93,3.92,-0.01,0.22,-0.12,-0.2,0.06
9,Piero Hincapié,Arsenal,DEF,5.4,3.71,3.39,-0.32,-0.26,-0.0,-0.23,0.12
10,Benjamin White,Arsenal,DEF,5.5,5.3,4.85,-0.45,-0.05,0.3,-0.3,-0.1
11,Cristhian Mosquera,Arsenal,DEF,5.5,3.71,3.77,0.06,0.11,-0.11,0.01,0.01
12,Bukayo Saka,Arsenal,MID,9.5,7.4,6.85,-0.55,-0.05,0.3,-0.25,-0.25
13,Declan Rice,Arsenal,MID,7.5,5.4,6.07,0.67,0.33,0.17,0.22,0.12
14,Eberechi Eze,Arsenal,MID,6.5,4.76,4.61,-0.15,0.3,-0.25,-0.15,-0.14
15,Martin Ødegaard,Arsenal,MID,6.6,4.77,4.77,0.0,-0.08,-0.14,0.16,-0.04
16,Noni Madueke,Arsenal,MID,6.4,5.17,5.13,-0.04,0.03,-0.22,0.15,-0.13
17,Mikel Merino Zazón,Arsenal,MID,6.0,4.79,4.71,-0.08,0.19,-0.18,-0.25,0.09
18,Gabriel Martinelli Silva,Arsenal,MID,6.4,4.56,4.5,-0.06,0.16,0.16,-0.21,-0.04
19,Martín Zubimendi Ibáñez,Arsenal,MID,5.5,4.3,4.32,0.02,0.25,0.07,-0.08,-0.13
20,Max Dowman,Arsenal,MID,5.4,4.36,4.51,0.15,-0.12,0.14,0.07,0.12
22,Ethan Nwaneri,Arsenal,MID,5.5,4.62,4.61,-0.01,-0.27,0.13,0.13,0.02
23,Fábio Ferreira Vieira,Arsenal,MID,5.5,4.16,3.98,-0.18,-0.0,0.01,-0.04,-0.14
24,Reiss Nelson,Arsenal,MID,5.5,4.72,4.4,-0.32,-0.33,0.08,-0.09,0.0
25,Viktor Gyökeres,Arsenal,FWD,7.4,4.98,4.87,-0.11,-0.18,-0.05,0.13,-0.08
26,Kai Havertz,Arsenal,FWD,7.5,5.42,5.52,0.1,-0.15,-0.2,0.21,0.09
27,Gabriel Fernando de Jesus,Arsenal,FWD,6.0,4.68,4.92,0.24,0.26,0.18,-0.16,0.12
31,Ezri Konsa Ngoyo,Arsenal,DEF,4.5,3.28,3.34,0.06,0.22,0.24,-0.09,-0.12
452,Bruno Guimarães Rodriguez Moura,Arsenal,MID,6.9,5.07,5.14,0.07,-0.05,0.19,0.18,-0.15
557,Christos Tzolis,Arsenal,MID,6.5,5.19,4.83,-0.36,-0.06,-0.17,-0.19,-0.05
28,Emiliano Martínez Romero,Aston Villa,GK,5.0,4.03,4.0,-0.03,-0.12,0.01,0.1,-0.04
29,Marco Bizot,Aston Villa,GK,4.5,3.32,3.46,0.14,0.32,-0.15,-0.0,-0.06
30,Lucas Digne,Aston Villa,DEF,4.5,3.32,2.96,-0.36,-0.32,0.07,0.0,-0.13
32,Matty Cash,Aston Villa,DEF,4.5,3.81,3.8,-0.01,0.29,-0.16,-0.18,-0.0
33,Tyrone Mings,Aston Villa,DEF,4.5,3.63,3.58,-0.05,-0.18,0.1,0.13,-0.08
34,Pau Torres,Aston Villa,DEF,4.5,3.18,3.22,0.04,-0.09,0.08,0.07,0.01
35,Lamare Bogarde,Aston Villa,MID,5.0,4.26,4.1,-0.16,0.23,-0.11,-0.16,-0.14
36,Ian Maatsen,Aston Villa,DEF,4.5,3.57,3.48,-0.09,0.12,-0.29,0.01,-0.08
37,Victor Lindelöf,Aston Villa,DEF,4.5,3.22,3.15,-0.07,-0.23,0.11,-0.06,0.13
38,Andrés García,Aston Villa,DEF,4.0,3.08,3.22,0.14,-0.11,-0.23,0.21,0.11
39,Kosta Nedeljkovic,Aston Villa,DEF,4.0,3.07,3.27,0.2,0.11,0.19,0.03,0.01
41,Emiliano Buendía Stati,Aston Villa,MID,6.0,4.54,4.65,0.11,-0.28,0.24,0.2,0.04
44,Leon Bailey,Aston Villa,MID,5.5,4.63,4.92,0.29,-0.11,0.14,0.2,0.12
45,John McGinn,Aston Villa,MID,5.5,4.5,4.43,-0.07,0.1,-0.25,-0.17,0.12
46,Ross Barkley,Aston Villa,MID,5.0,3.96,3.52,-0.44,-0.34,-0.24,0.08,-0.15
47,Boubacar Kamara,Aston Villa,MID,5.0,4.35,4.42,0.07,0.03,0.12,0.08,-0.08
48,Amadou Onana,Aston Villa,MID,5.0,4.44,4.42,-0.02,-0.18,-0.1,0.12,0.04
49,Samuel Iling-Junior,Aston Villa,MID,5.0,4.04,3.9,-0.14,0.11,0.04,-0.2,-0.04
50,Bradley Burrowes,Aston Villa,MID,4.5,4.06,4.1,0.04,-0.18,0.28,-0.05,0.12
51,George Hemmings,Aston Villa,MID,4.5,3.76,3.97,0.21,0.21,0.0,0.04,-0.0
52,Alysson Edward Franco da Rocha dos Santos,Aston Villa,MID,5.0,3.97,3.85,-0.12,0.16,-0.13,-0.24,0.04
53,Johan Manzambi,Aston Villa,MID,6.0,4.31,4.84,0.53,0.31,0.27,0.21,-0.04
54,Joao Gomes,Aston Villa,MID,5.5,4.68,5.27,0.59,0.3,-0.04,0.23,0.14
55,Ollie Watkins,Aston Villa,FWD,7.9,5.27,5.26,-0.01,-0.14,-0.07,0.18,-0.05
56,Tammy Abraham,Aston Villa,FWD,5.5,4.15,4.41,0.26,0.04,0.26,0.1,0.02
160,Alejandro Garnacho Ferreyra,Aston Villa,MID,6.0,4.91,4.92,0.01,0.08,0.29,-0.18,0.01
582,Brian Madjo,Aston Villa,FWD,5.5,4.29,4.53,0.24,0.17,0.12,0.1,-0.04
596,Matteo Ruggeri,Aston Villa,DEF,4.5,3.48,4.03,0.55,0.22,0.19,0.18,0.12
597,Zion Suzuki,Aston Villa,GK,5.0,3.91,4.11,0.2,0.0,0.18,0.07,0.06
606,Triston Rowe,Aston Villa,DEF,4.0,3.3,3.3,0.0,0.27,-0.1,-0.06,-0.12
607,Luka Lynch,Aston Villa,MID,4.5,4.03,3.73,-0.3,-0.32,-0.02,0.02,-0.06
611,Aaron Wan-Bissaka,Aston Villa,DEF,4.5,3.21,2.95,-0.26,-0.33,-0.28,0.16,-0.04
618,Leon Goretzka,Aston Villa,MID,6.0,4.36,4.34,-0.02,0.02,0.16,-0.14,0.04
57,Đorđe Petrović,Bournemouth,GK,4.5,3.63,3.45,-0.18,-0.31,0.02,0.02,0.04
58,Fraser Forster,Bournemouth,GK,4.0,3.09,3.36,0.27,0.33,0.01,-0.09,0.09
59,Will Dennis,Bournemouth,GK,4.0,3.49,3.26,-0.23,-0.04,-0.25,-0.24,0.14
60,James Hill,Bournemouth,DEF,5.5,3.76,3.59,-0.17,0.14,-0.05,-0.16,-0.1
61,Adrien Truffert,Bournemouth,DEF,5.5,4.25,4.34,0.09,0.03,0.13,0.08,-0.07
62,Bafodé Diakité,Bournemouth,DEF,5.0,3.52,3.71,0.19,0.17,0.03,0.06,-0.02
63,Veljko Milosavljevic,Bournemouth,DEF,5.0,3.38,3.0,-0.38,-0.1,0.15,-0.24,-0.12
64,Adam Smith,Bournemouth,DEF,4.5,3.19,3.11,-0.08,-0.32,0.21,0.1,-0.01
65,Julián Araujo Zúñiga,Bournemouth,DEF,4.5,3.4,3.2,-0.2,-0.01,-0.02,-0.16,-0.02
66,Julio Soler Barreto,Bournemouth,DEF,4.0,3.34,3.17,-0.17,0.08,0.08,-0.23,-0.04
67,Rayan Vitor Simplício Rocha,Bournemouth,MID,6.5,4.58,4.64,0.06,0.0,0.21,0.08,-0.1
68,Marcus Tavernier,Bournemouth,MID,6.0,4.7,4.84,0.14,0.1,-0.28,0.04,0.13
69,Alex Scott,Bournemouth,MID,6.0,4.96,4.92,-0.04,-0.08,0.09,-0.02,0.01
70,Justin Kluivert,Bournemouth,MID,6.0,4.35,4.51,0.16,-0.08,0.28,0.2,-0.09
71,Lewis Cook,Bournemouth,MID,5.0,3.9,3.41,-0.49,-0.28,-0.29,-0.2,0.05
72,Ben Gannon-Doak,Bournemouth,MID,5.0,4.05,3.88,-0.17,-0.13,0.21,-0.24,0.09
73,Tyler Adams,Bournemouth,MID,5.0,4.36,4.36,0.0,-0.27,0.12,0.06,0.11
74,David Brooks,Bournemouth,MID,5.0,4.41,4.45,0.04,0.21,-0.13,-0.16,0.08
75,Ryan Christie,Bournemouth,MID,5.0,4.09,4.36,0.27,0.34,-0.05,-0.06,0.08
76,Alex Tóth,Bournemouth,MID,5.0,4.38,4.75,0.37,0.3,0.22,-0.04,0.08
77,Amine Adli,Bournemouth,MID,5.0,4.07,4.04,-0.03,-0.28,0.24,0.0,0.1
78,Junior Kroupi,Bournemouth,MID,7.5,5.04,5.12,0.08,0.28,-0.07,-0.24,0.12
79,Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,6.0,4.74,4.99,0.25,-0.13,0.27,0.23,0.02
80,Enes Ünal,Bournemouth,FWD,5.5,4.61,4.49,-0.12,-0.04,-0.12,-0.09,0.05
81,Álvaro Rodríguez,Bournemouth,FWD,6.0,4.34,4.37,0.03,0.2,0.17,-0.2,-0.0
566,António João Pereira de Albuquerque Tavares da Silva,Bournemouth,DEF,5.0,3.43,3.59,0.16,0.03,-0.04,0.19,-0.04
573,Juanlu Sánchez,Bournemouth,DEF,4.5,3.18,2.98,-0.2,-0.25,0.16,0.06,-0.12
608,Daniel Jebbison,Bournemouth,FWD,5.0,3.91,4.14,0.23,0.14,-0.26,0.16,0.06
615,Michele Di Gregorio,Bournemouth,GK,4.5,3.69,3.47,-0.22,-0.29,0.29,-0.06,-0.04
82,Caoimhín Kelleher,Brentford,GK,5.0,3.41,3.86,0.45,0.31,0.29,0.13,-0.04
83,Hákon Rafn Valdimarsson,Brentford,GK,4.5,3.2,3.45,0.25,0.19,0.04,-0.04,0.12
84,Nathan Collins,Brentford,DEF,5.5,3.66,3.39,-0.27,-0.01,-0.29,-0.02,-0.13
85,Sepp van den Berg,Brentford,DEF,5.0,4.02,3.99,-0.03,-0.27,0.09,0.12,0.03
86,Keane Lewis-Potter,Brentford,MID,5.5,4.75,4.73,-0.02,-0.09,-0.13,0.18,-0.08
87,Kristoffer Ajer,Brentford,DEF,4.5,3.49,3.22,-0.27,-0.34,0.28,-0.23,0.12
88,Michael Kayode,Brentford,DEF,4.6,4.8,4.7,-0.1,-0.34,0.3,-0.05,-0.05
89,Rico Henry,Brentford,DEF,4.5,3.49,3.84,0.35,0.35,-0.26,0.03,0.14
90,Aaron Hickey,Brentford,DEF,4.5,3.53,3.67,0.14,0.09,0.12,-0.02,0.04
92,Kim Ji-soo,Brentford,DEF,4.5,3.74,3.89,0.15,0.28,-0.27,-0.11,0.14
93,Jannik Schuster,Brentford,DEF,4.5,3.44,3.24,-0.2,-0.03,0.07,-0.11,-0.09
94,Kevin Schade,Brentford,MID,6.0,4.99,4.86,-0.13,-0.1,0.05,-0.21,0.14
95,Dango Ouattara,Brentford,MID,6.5,5.01,5.12,0.11,0.14,0.02,-0.1,0.09
96,Mikkel Damsgaard,Brentford,MID,5.5,4.59,4.79,0.2,-0.24,0.25,0.16,0.13
97,Mathias Jensen,Brentford,MID,5.5,4.11,4.48,0.37,0.08,-0.05,0.22,0.11
98,Vitaly Janelt,Brentford,MID,5.0,3.96,3.98,0.02,-0.33,-0.07,0.16,0.15
99,Antoni Milambo,Brentford,MID,5.0,4.44,4.8,0.36,0.07,-0.07,0.23,0.1
100,Fábio Freitas Gouveia Carvalho,Brentford,MID,5.0,4.46,4.18,-0.28,-0.02,-0.05,-0.11,-0.13
102,Yehor Yarmoliuk,Brentford,MID,5.0,4.39,4.96,0.57,0.22,0.3,0.25,0.02
103,Josh Dasilva,Brentford,MID,5.0,3.94,4.13,0.19,0.31,0.21,-0.13,-0.01
105,Jaidon Anthony,Brentford,MID,6.0,4.73,4.92,0.19,0.32,0.06,-0.14,0.05
106,Igor Thiago Nascimento Rodrigues,Brentford,FWD,8.0,5.74,5.67,-0.07,-0.1,-0.23,0.09,0.01
107,Kaye Furo,Brentford,FWD,4.5,4.23,4.37,0.14,0.01,0.21,0.03,0.02
108,Callum Wilson,Brentford,FWD,5.5,4.51,4.21,-0.3,-0.07,-0.22,-0.24,0.08
565,Mamadou Sangaré,Brentford,MID,5.6,4.37,4.08,-0.29,0.14,-0.17,-0.18,-0.15
620,El Hadji Malick Diouf,Brentford,DEF,4.5,3.36,3.47,0.11,0.06,-0.06,-0.03,0.12
109,Bart Verbruggen,Brighton,GK,4.5,3.72,3.79,0.07,0.01,0.17,-0.05,0.04
111,Jason Steele,Brighton,GK,4.0,3.08,3.45,0.37,0.31,-0.21,0.21,-0.0
113,Ferdi Kadıoğlu,Brighton,DEF,4.5,3.56,3.6,0.04,-0.03,0.29,-0.0,-0.05
114,Olivier Boscagli,Brighton,DEF,4.5,3.23,2.69,-0.54,-0.18,-0.25,-0.19,-0.11
115,Maxim De Cuyper,Brighton,DEF,4.6,5.8,4.9,-0.9,0.0,0.02,-0.5,-0.2
116,Lewis Dunk,Brighton,DEF,4.5,3.75,3.37,-0.38,-0.25,0.08,-0.16,-0.05
117,Diego Coppola,Brighton,DEF,4.5,3.15,2.92,-0.23,-0.02,0.1,-0.16,-0.09
118,Igor Julio dos Santos de Paulo,Brighton,DEF,4.5,3.2,2.68,-0.52,-0.23,-0.13,-0.16,-0.12
119,João Pedro Loureiro da Costa,Brighton,DEF,4.5,3.6,3.43,-0.17,-0.03,-0.18,-0.07,0.0
120,Michael Svoboda,Brighton,DEF,5.0,3.96,3.71,-0.25,-0.32,0.18,0.06,-0.13
121,Mitoma Kaoru,Brighton,MID,6.0,4.82,4.93,0.11,0.29,-0.26,-0.11,0.09
122,Yankuba Minteh,Brighton,MID,6.0,4.73,4.43,-0.3,-0.22,-0.17,-0.06,-0.0
123,Jack Hinshelwood,Brighton,MID,6.0,4.48,4.38,-0.1,-0.09,-0.02,0.12,-0.14
124,Pascal Groß,Brighton,MID,5.5,4.16,4.4,0.24,0.15,0.24,0.01,0.01
125,Georginio Rutter,Brighton,FWD,5.5,4.34,4.12,-0.22,-0.04,0.02,-0.13,-0.07
126,Matt O'Riley,Brighton,MID,5.5,4.16,3.65,-0.51,-0.34,-0.11,-0.14,-0.05
127,Diego Gómez Amarilla,Brighton,MID,5.0,4.2,4.62,0.42,0.27,0.06,0.09,0.09
128,Facundo Buonanotte,Brighton,MID,5.0,4.15,4.04,-0.11,-0.29,0.02,0.04,0.07
129,Yasin Ayari,Brighton,MID,5.5,4.48,4.19,-0.29,-0.26,-0.13,-0.07,0.04
130,Mats Wieffer,Brighton,DEF,5.0,3.42,3.43,0.01,-0.1,0.29,0.05,-0.08
132,Harry Howell,Brighton,MID,4.5,3.82,3.31,-0.51,-0.24,-0.15,-0.17,-0.09
133,Tom Watson,Brighton,MID,5.0,4.14,3.85,-0.29,-0.23,0.24,-0.21,0.01
134,Nehemiah Oriola,Brighton,MID,4.5,4.23,4.5,0.27,0.34,-0.23,-0.05,0.14
135,Zadok Yohanna,Brighton,MID,5.0,4.5,4.51,0.01,0.22,-0.15,-0.16,0.05
137,Stefanos Tzimas,Brighton,FWD,5.5,4.21,4.23,0.02,0.04,0.04,-0.11,0.08
138,Charalampos Kostoulas,Brighton,FWD,5.5,4.16,3.97,-0.19,-0.12,-0.04,0.0,-0.08
139,Evan Ferguson,Brighton,FWD,5.0,4.19,4.14,-0.05,0.08,-0.13,0.04,-0.1
328,Pascal Struijk,Brighton,DEF,5.0,3.39,3.11,-0.28,0.02,-0.27,-0.08,-0.11
504,Luka Vušković,Brighton,DEF,5.0,3.83,4.14,0.31,0.34,-0.11,0.15,-0.07
594,Promise David,Brighton,FWD,6.0,4.54,4.67,0.13,0.18,0.06,-0.01,-0.03
600,Ibrahim Osman,Brighton,MID,5.0,4.36,4.8,0.44,0.3,0.2,0.23,-0.11
605,Malick Yalcouyé,Brighton,MID,4.5,4.02,4.04,0.02,0.31,-0.19,-0.22,0.07
614,Jaouen Hadjam,Brighton,DEF,4.5,3.23,3.39,0.16,0.24,-0.22,0.15,-0.09
40,Morgan Rogers,Chelsea,MID,7.5,5.23,5.2,-0.03,-0.24,0.19,0.08,0.01
101,Jordan Henderson,Chelsea,MID,5.0,4.11,4.43,0.32,0.26,-0.06,0.16,-0.02
136,Danny Welbeck,Chelsea,FWD,6.0,4.46,4.51,0.05,-0.03,-0.12,0.12,0.0
140,Robert Lynch Sánchez,Chelsea,GK,5.0,3.79,4.13,0.34,0.28,-0.07,0.02,0.12
141,Filip Jörgensen,Chelsea,GK,5.0,3.45,3.35,-0.1,-0.27,0.26,0.06,-0.05
142,Reece James,Chelsea,DEF,5.5,4.13,4.47,0.34,0.21,0.07,0.02,0.12
143,Trevoh Chalobah,Chelsea,DEF,5.5,3.6,3.3,-0.3,-0.24,-0.11,-0.13,0.07
144,Malo Gusto,Chelsea,DEF,5.0,3.92,4.16,0.24,0.05,0.16,0.19,-0.05
145,Wesley Fofana,Chelsea,DEF,5.0,3.91,3.56,-0.35,-0.27,0.21,-0.19,-0.03
146,Benoît Badiashile Mukinayi,Chelsea,DEF,4.5,3.57,3.49,-0.08,-0.25,-0.16,0.11,0.07
147,Tosin Adarabioyo,Chelsea,DEF,4.5,3.25,3.2,-0.05,0.14,0.03,-0.12,-0.05
148,Jorrel Hato,Chelsea,DEF,4.5,3.78,3.97,0.19,0.29,0.05,-0.05,-0.01
149,Levi Samuels Colwill,Chelsea,DEF,5.0,3.36,3.22,-0.14,-0.24,0.05,0.0,0.03
150,Mamadou Sarr,Chelsea,DEF,4.5,3.77,4.17,0.4,0.26,0.26,0.03,0.06
151,Josh Acheampong,Chelsea,DEF,4.5,3.42,3.53,0.11,0.15,-0.21,0.04,0.03
