fixture_id,home_team,away_team,kickoff_time,status
1,Arsenal,Coventry City,2026-08-21T19:00:00Z,AUTHENTICATED
4,Hull City,Man Utd,2026-08-22T11:30:00Z,AUTHENTICATED
3,Everton,Crystal Palace,2026-08-22T14:00:00Z,AUTHENTICATED
5,Ipswich Town,Sunderland,2026-08-22T14:00:00Z,AUTHENTICATED
6,Nott'm Forest,Leeds,2026-08-22T14:00:00Z,AUTHENTICATED
2,Brentford,Spurs,2026-08-22T16:30:00Z,AUTHENTICATED
7,Brighton,Aston Villa,2026-08-23T13:00:00Z,AUTHENTICATED
8,Man City,Bournemouth,2026-08-23T13:00:00Z,AUTHENTICATED
9,Newcastle,Liverpool,2026-08-23T15:30:00Z,AUTHENTICATED
10,Fulham,Chelsea,2026-08-24T19:00:00Z,AUTHENTICATED
