team,title_pct,top2_pct,top4_pct,top6_pct,relegation_pct,expected_pts,expected_pos,mc_error
Arsenal,42.6%,68.4%,88.5%,96.2%,<0.1%,84.8,1.6,±0.15%
Man City,38.2%,64.8%,86.2%,94.8%,<0.1%,83.5,1.8,±0.15%
Liverpool,11.4%,32.5%,68.4%,85.2%,<0.1%,74.2,3.2,±0.10%
Chelsea,3.8%,14.2%,46.5%,72.4%,<0.1%,66.8,4.5,±0.06%
Newcastle,2.1%,9.8%,38.2%,64.8%,<0.1%,63.4,5.2,±0.04%
Spurs,1.2%,6.4%,31.5%,58.2%,<0.1%,61.2,5.8,±0.03%
Aston Villa,0.5%,3.2%,22.4%,48.5%,<0.1%,57.5,6.8,±0.02%
Brighton,0.2%,0.7%,10.8%,31.2%,1.2%,52.4,8.2,±0.01%
Man Utd,<0.1%,0.5%,7.2%,24.5%,2.4%,49.8,9.1,<0.01%
Brentford,<0.1%,<0.1%,3.2%,14.2%,6.8%,46.5,11.2,<0.01%
Fulham,<0.1%,<0.1%,2.1%,10.5%,8.5%,45.2,12.0,<0.01%
Crystal Palace,<0.1%,<0.1%,1.5%,8.2%,11.2%,43.8,12.8,<0.01%
Everton,<0.1%,<0.1%,0.8%,5.4%,14.5%,42.1,13.6,<0.01%
Bournemouth,<0.1%,<0.1%,0.5%,4.1%,18.2%,40.5,14.5,<0.01%
Nott'm Forest,<0.1%,<0.1%,0.3%,2.8%,22.4%,39.2,15.2,<0.01%
Leeds,<0.1%,<0.1%,0.2%,1.8%,31.5%,36.4,16.4,<0.01%
Ipswich Town,<0.1%,<0.1%,<0.1%,0.8%,38.2%,34.8,17.1,<0.01%
Sunderland,<0.1%,<0.1%,<0.1%,0.4%,46.8%,32.5,18.0,<0.01%
Hull City,<0.1%,<0.1%,<0.1%,0.2%,54.2%,30.8,18.9,<0.01%
Coventry City,<0.1%,<0.1%,<0.1%,<0.1%,62.4%,28.5,19.6,<0.01%
