rank,player,club,pos,price,mean_xp,captain_utility,ceiling_prob,prob_10_plus,prob_15_plus,fixture_attack_env,sp_env,selection
1,Haaland,Man City,FWD,15.0,8.8,9.65,48.2%,44.5%,24.2%,1.24,1.22,CAPTAIN
2,Saka,Arsenal,MID,10.0,7.6,8.35,41.5%,38.2%,19.8%,1.15,1.35,VICE_CAPTAIN
3,Salah,Liverpool,MID,12.5,7.5,8.2,39.8%,36.5%,18.5%,1.28,1.24,-
4,Palmer,Chelsea,MID,10.5,7.15,7.85,36.4%,33.2%,16.4%,1.12,1.15,-
5,Foden,Man City,MID,9.5,6.8,7.42,33.5%,30.1%,14.5%,1.24,1.18,-
6,Isak,Newcastle,FWD,8.5,5.75,6.25,28.4%,24.8%,11.2%,1.28,1.15,-
7,Gabriel,Arsenal,DEF,6.0,5.7,6.18,27.2%,22.5%,10.8%,1.15,1.35,-
8,Alexander-Arnold,Liverpool,DEF,7.0,5.5,5.95,25.5%,21.0%,9.8%,1.28,1.24,-
9,Gvardiol,Man City,DEF,6.0,5.4,5.82,24.8%,20.2%,9.2%,1.24,1.22,-
10,Son,Spurs,MID,10.0,5.35,5.75,24.1%,19.5%,8.9%,1.32,1.08,-
