player_id,name,web_name,club,position,price,status,chance_of_playing
1,David Raya Martín,Raya,Arsenal,GK,6.0,a,100
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,GK,5.0,a,100
3,Illan Meslier,Meslier,Arsenal,GK,5.0,a,100
4,Gabriel dos Santos Magalhães,Gabriel,Arsenal,DEF,8.0,a,100
5,Jurriën Timber,J.Timber,Arsenal,DEF,6.5,i,0
6,William Saliba,Saliba,Arsenal,DEF,6.0,i,0
7,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,MID,5.5,a,100
8,Riccardo Calafiori,Calafiori,Arsenal,DEF,5.6,a,100
9,Piero Hincapié,Hincapie,Arsenal,DEF,5.4,a,100
10,Benjamin White,White,Arsenal,DEF,5.5,a,100
11,Cristhian Mosquera,Mosquera,Arsenal,DEF,5.5,a,100
12,Bukayo Saka,Saka,Arsenal,MID,9.5,a,100
13,Declan Rice,Rice,Arsenal,MID,7.5,a,100
14,Eberechi Eze,Eze,Arsenal,MID,6.5,a,100
15,Martin Ødegaard,Ødegaard,Arsenal,MID,6.6,a,100
16,Noni Madueke,Madueke,Arsenal,MID,6.4,a,100
17,Mikel Merino Zazón,Merino,Arsenal,MID,6.0,a,100
18,Gabriel Martinelli Silva,Martinelli,Arsenal,MID,6.4,a,100
19,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,MID,5.5,a,100
20,Max Dowman,Dowman,Arsenal,MID,5.4,a,100
22,Ethan Nwaneri,Nwaneri,Arsenal,MID,5.5,a,100
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,MID,5.5,a,100
24,Reiss Nelson,Nelson,Arsenal,MID,5.5,a,100
25,Viktor Gyökeres,Gyökeres,Arsenal,FWD,7.4,a,100
26,Kai Havertz,Havertz,Arsenal,FWD,7.5,a,100
27,Gabriel Fernando de Jesus,G.Jesus,Arsenal,FWD,6.0,a,100
31,Ezri Konsa Ngoyo,Konsa,Arsenal,DEF,4.5,a,100
452,Bruno Guimarães Rodriguez Moura,Bruno G.,Arsenal,MID,6.9,d,75
557,Christos Tzolis,Tzolis,Arsenal,MID,6.5,a,100
28,Emiliano Martínez Romero,Martinez,Aston Villa,GK,5.0,a,100
29,Marco Bizot,M.Bizot,Aston Villa,GK,4.5,a,100
