team,pre_gw1_title,pre_gw2_title,delta_title,top4_pct,expected_pts,mc_std_error
Arsenal,42.6%,44.1%,+1.5 pp,89.6%,85.4,±0.15%
Man City,38.2%,39.0%,+0.8 pp,86.8%,83.9,±0.15%
Liverpool,11.4%,10.5%,-0.9 pp,66.8%,73.6,±0.10%
Chelsea,3.8%,4.1%,+0.3 pp,48.0%,67.4,±0.06%
Newcastle,2.1%,2.0%,-0.1 pp,37.8%,63.2,±0.04%
Spurs,1.2%,0.7%,-0.5 pp,26.8%,59.8,±0.03%
Brighton,0.2%,0.4%,+0.2 pp,14.5%,54.2,±0.01%
Aston Villa,0.5%,0.2%,-0.3 pp,18.2%,55.6,±0.02%
Man Utd,<0.1%,<0.1%,0.0 pp,5.4%,48.2,<0.01%
Brentford,<0.1%,<0.1%,0.0 pp,4.8%,48.0,<0.01%
Fulham,<0.1%,<0.1%,0.0 pp,3.2%,45.8,<0.01%
Crystal Palace,<0.1%,<0.1%,0.0 pp,2.4%,44.2,<0.01%
Everton,<0.1%,<0.1%,0.0 pp,1.8%,43.5,<0.01%
Bournemouth,<0.1%,<0.1%,0.0 pp,1.2%,41.2,<0.01%
Nott'm Forest,<0.1%,<0.1%,0.0 pp,0.8%,39.8,<0.01%
Leeds,<0.1%,<0.1%,0.0 pp,0.6%,37.5,<0.01%
Ipswich Town,<0.1%,<0.1%,0.0 pp,0.4%,35.8,<0.01%
Sunderland,<0.1%,<0.1%,0.0 pp,0.2%,33.2,<0.01%
Hull City,<0.1%,<0.1%,0.0 pp,0.1%,31.8,<0.01%
Coventry City,<0.1%,<0.1%,0.0 pp,<0.1%,29.2,<0.01%
