fixture,p_h,p_d,p_a,predicted_class,actual_class,p_assigned_actual,correct
Arsenal vs Coventry City,0.78,0.14,0.08,H,H,0.78,True
Hull City vs Manchester United,0.2,0.22,0.58,A,H,0.2,False
Everton vs Crystal Palace,0.51,0.27,0.22,H,H,0.51,True
Ipswich Town vs Sunderland,0.46,0.28,0.26,H,H,0.46,True
Nottingham Forest vs Leeds United,0.35,0.27,0.38,A,A,0.38,True
Brentford vs Tottenham Hotspur,0.26,0.25,0.49,A,H,0.26,False
Brighton vs Aston Villa,0.44,0.28,0.28,H,H,0.44,True
Manchester City vs Bournemouth,0.72,0.18,0.1,H,H,0.72,True
Newcastle United vs Liverpool,0.28,0.3,0.42,A,D,0.3,False
Fulham vs Chelsea,0.22,0.24,0.54,A,A,0.54,True
