rank,player,club,pos,c9_xp,actual_fpl_points,actual_overall_rank,pred_error
1,Bukayo Saka,Arsenal,MID,8.2,12,1,-3.8
2,Erling Haaland,Man City,FWD,7.6,9,4,-1.4
3,Cole Palmer,Chelsea,MID,7.0,10,3,-3.0
4,Mohamed Salah,Liverpool,MID,7.1,8,7,-0.9
5,Kaoru Mitoma,Brighton,MID,6.4,11,2,-4.6
6,David Raya,Arsenal,GKP,5.6,6,11,-0.4
7,Gabriel Magalhães,Arsenal,DEF,5.8,6,11,-0.2
8,William Saliba,Arsenal,DEF,5.5,6,11,-0.5
9,Danny Welbeck,Brighton,FWD,5.4,9,4,-3.6
10,Alexander Isak,Newcastle,FWD,5.2,6,11,-0.8
11,Nicolas Jackson,Chelsea,FWD,5.1,6,11,-0.9
12,Yoane Wissa,Brentford,FWD,5.0,11,2,-6.0
13,Bryan Mbeumo,Brentford,MID,4.9,9,4,-4.1
14,Chris Wood,Nottingham Forest,FWD,4.8,2,45,2.8
15,James Maddison,Spurs,MID,4.7,2,45,2.7
16,Dominic Solanke,Spurs,FWD,4.6,2,45,2.6
17,Kai Havertz,Arsenal,FWD,4.5,6,11,-1.5
18,Martin Ødegaard,Arsenal,MID,4.4,3,35,1.4
19,Phil Foden,Man City,MID,4.3,3,35,1.3
20,Kevin De Bruyne,Man City,MID,4.2,3,35,1.2
