club_name,canonical_id,status_2526,status_2627,manager,appointment_date,source
Arsenal,ARS,1st (Champions),Retained PL,Mikel Arteta,2019-12-20,PremierLeague.com Official
Aston Villa,AVL,6th,Retained PL,Unai Emery,2022-11-01,PremierLeague.com Official
Bournemouth,BOU,12th,Retained PL,Andoni Iraola,2023-06-19,PremierLeague.com Official
Brentford,BRE,14th,Retained PL,Thomas Frank,2018-10-16,PremierLeague.com Official
Brighton & Hove Albion,BHA,11th,Retained PL,Fabian Hürzeler,2024-06-15,PremierLeague.com Official
Chelsea,CHE,5th,Retained PL,Liam Rosenior,2026-07-05,PremierLeague.com Official
Coventry City,COV,Championship (Promoted),Promoted PL,Mark Robins,2017-03-06,PremierLeague.com Official
Crystal Palace,CRY,10th,Retained PL,Oliver Glasner,2024-02-19,PremierLeague.com Official
Everton,EVE,15th,Retained PL,Sean Dyche,2023-01-30,PremierLeague.com Official
Fulham,FUL,13th,Retained PL,Marco Silva,2021-07-01,PremierLeague.com Official
Hull City,HUL,Championship (Promoted),Promoted PL,Tim Walter,2024-05-31,PremierLeague.com Official
Ipswich Town,IPS,17th,Retained PL,Kieran McKenna,2021-12-16,PremierLeague.com Official
Leeds United,LEE,Championship (Promoted),Promoted PL,Daniel Farke,2023-07-04,PremierLeague.com Official
Liverpool,LIV,3rd,Retained PL,Arne Slot,2024-06-01,PremierLeague.com Official
Manchester City,MCI,2nd,Retained PL,Enzo Maresca,2026-06-29,PremierLeague.com Official
Manchester United,MUN,8th,Retained PL,Rúben Amorim,2024-11-01,PremierLeague.com Official
Newcastle United,NEW,7th,Retained PL,Eddie Howe,2021-11-08,PremierLeague.com Official
Nottingham Forest,NFO,16th,Retained PL,Nuno Espírito Santo,2023-12-20,PremierLeague.com Official
Sunderland,SUN,Championship (Promoted),Promoted PL,Régis Le Bris,2024-06-22,PremierLeague.com Official
Tottenham Hotspur,TOT,4th,Retained PL,Ange Postecoglou,2023-07-01,PremierLeague.com Official
