match_id,home,away,score,status
2026_27_GW01_01,Arsenal,Coventry City,3-0,COMPLETED_AUTHENTICATED
2026_27_GW01_02,Hull City,Manchester United,2-0,COMPLETED_AUTHENTICATED
2026_27_GW01_03,Everton,Crystal Palace,2-0,COMPLETED_AUTHENTICATED
2026_27_GW01_04,Ipswich Town,Sunderland,2-1,COMPLETED_AUTHENTICATED
2026_27_GW01_05,Nottingham Forest,Leeds United,0-1,COMPLETED_AUTHENTICATED
2026_27_GW01_06,Brentford,Tottenham Hotspur,3-0,COMPLETED_AUTHENTICATED
2026_27_GW01_07,Brighton & Hove Albion,Aston Villa,4-0,COMPLETED_AUTHENTICATED
2026_27_GW01_08,Manchester City,AFC Bournemouth,2-1,COMPLETED_AUTHENTICATED
2026_27_GW01_09,Newcastle United,Liverpool,2-2,COMPLETED_AUTHENTICATED
2026_27_GW01_10,Fulham,Chelsea,2-3,COMPLETED_AUTHENTICATED
