match,actual_score,actual_res,frozen_pick,c9_pick,frozen_p_actual,c9_p_actual,frozen_correct,c9_correct
Arsenal vs Coventry City,3-0,H,H (0.74),H (0.78),0.74,0.78,True,True
Hull City vs Manchester United,2-0,H,A (0.61),A (0.58),0.18,0.2,False,False
Everton vs Crystal Palace,2-0,H,H (0.48),H (0.51),0.48,0.51,True,True
Ipswich Town vs Sunderland,2-1,H,H (0.44),H (0.46),0.44,0.46,True,True
Nottingham Forest vs Leeds United,0-1,A,H (0.42),A (0.38),0.29,0.38,False,True
Brentford vs Tottenham Hotspur,3-0,H,A (0.52),A (0.49),0.24,0.26,False,False
Brighton vs Aston Villa,4-0,H,D (0.36),H (0.44),0.35,0.44,False,True
Manchester City vs Bournemouth,2-1,H,H (0.78),H (0.72),0.78,0.72,True,True
Newcastle United vs Liverpool,2-2,D,A (0.54),D (0.34),0.26,0.34,False,True
Fulham vs Chelsea,2-3,A,A (0.56),A (0.54),0.56,0.54,True,True
