rank,player,club,pos,frozen_xp,c9_xp,actual_gw1_points,notes
1,Bukayo Saka,Arsenal,MID,7.4,8.2,12,"1 Goal, 2 Assists vs Coventry (3-0)"
2,Erling Haaland,Man City,FWD,8.1,7.6,9,1 Goal vs Bournemouth (2-1)
3,Mohamed Salah,Liverpool,MID,7.2,7.1,8,1 Goal vs Newcastle (2-2)
4,Cole Palmer,Chelsea,MID,6.8,7.0,10,"1 Goal, 1 Assist vs Fulham (3-2)"
5,Kaoru Mitoma,Brighton,MID,5.2,6.4,11,"1 Goal, 1 Assist vs Villa (4-0)"
6,David Raya,Arsenal,GKP,5.0,5.6,6,Clean Sheet vs Coventry (3-0)
7,Gabriel Magalhães,Arsenal,DEF,5.1,5.8,6,Clean Sheet vs Coventry (3-0)
8,William Saliba,Arsenal,DEF,4.9,5.5,6,Clean Sheet vs Coventry (3-0)
9,Danny Welbeck,Brighton,FWD,4.5,5.4,9,1 Goal vs Villa (4-0)
10,Alexander Isak,Newcastle,FWD,5.8,5.2,6,1 Goal vs Liverpool (2-2)
