match_num,stage,opponent,venue,score,result,xg,xga
1,League Phase (MD1),Atalanta,Away,0-0,D,1.15,0.85
2,League Phase (MD2),Paris Saint-Germain,Home,2-0,W,1.85,0.45
3,League Phase (MD3),Shakhtar Donetsk,Home,1-0,W,2.1,0.3
4,League Phase (MD4),Inter Milan,Away,0-1,L,1.45,1.1
5,League Phase (MD5),Sporting CP,Away,5-1,W,3.2,0.95
6,League Phase (MD6),Monaco,Home,3-0,W,2.4,0.4
7,League Phase (MD7),Dinamo Zagreb,Home,3-0,W,2.65,0.35
8,League Phase (MD8),Girona,Away,2-1,W,1.9,0.7
9,Round of 16 (Leg 1),PSV Eindhoven,Away,1-1,D,1.3,0.95
10,Round of 16 (Leg 2),PSV Eindhoven,Home,2-0,W,2.1,0.4
11,Quarter-Finals (Leg 1),Real Madrid,Home,2-1,W,1.95,1.2
12,Quarter-Finals (Leg 2),Real Madrid,Away,1-1,D,1.4,1.5
13,Semi-Finals (Leg 1),Bayern Munich,Home,0-1,L,1.1,1.25
14,Semi-Finals (Leg 2),Bayern Munich,Away,0-1,L,0.95,1.35
