fixture,venue,fpl_official_feed,opta_feed,agreement
Arsenal vs Coventry City,Emirates Stadium (Home),"3-0 (Ødegaard 1, Saka 1, White 1A)",3-0 (FT),CONFIRMED
Hull City vs Man Utd,MKM Stadium (Home),"2-0 (Mendy 1, Ajayi 1, Tzolakis CS)",2-0 (FT),CONFIRMED
Everton vs Crystal Palace,Goodison Park (Home),"2-0 (Dewsbury-Hall 1, Ndiaye 1A)",2-0 (FT),CONFIRMED
Ipswich Town vs Sunderland,Portman Road (Home),2-1 (Emersonn 1),2-1 (FT),CONFIRMED
Nott'm Forest vs Leeds,City Ground (Away Win),"0-1 (Stach 1, Trafford CS)",0-1 (FT),CONFIRMED
Brentford vs Spurs,Gtech Community Stadium (Home),"3-0 (Kayode 1, Lewis-Potter 1, Janelt 1)",3-0 (FT),CONFIRMED
Brighton vs Aston Villa,Amex Stadium (Home),"4-0 (Hinshelwood 2, De Cuyper 1G 1A)",4-0 (FT),CONFIRMED
Man City vs Bournemouth,Etihad Stadium (Home),"2-1 (Guéhi 1, Tavernier 1)",2-1 (FT),CONFIRMED
Newcastle vs Liverpool,St. James' Park (Draw),2-2 (Gakpo 1),2-2 (FT),CONFIRMED
Fulham vs Chelsea,Craven Cottage (Away Win),"2-3 (Palmer 1G 1A, João Pedro 1G 1A)",2-3 (FT),CONFIRMED
