team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,rank
Brighton,1,1,0,0,4,0,4,3,1
Arsenal,1,1,0,0,3,0,3,3,2
Brentford,1,1,0,0,3,0,3,3,3
Everton,1,1,0,0,2,0,2,3,4
Hull City,1,1,0,0,2,0,2,3,5
Chelsea,1,1,0,0,3,2,1,3,6
Ipswich Town,1,1,0,0,2,1,1,3,7
Man City,1,1,0,0,2,1,1,3,8
Leeds,1,1,0,0,1,0,1,3,9
Liverpool,1,0,1,0,2,2,0,1,10
Newcastle,1,0,1,0,2,2,0,1,11
Fulham,1,0,0,1,2,3,-1,0,12
Bournemouth,1,0,0,1,1,2,-1,0,13
Sunderland,1,0,0,1,1,2,-1,0,14
Nott'm Forest,1,0,0,1,0,1,-1,0,15
Crystal Palace,1,0,0,1,0,2,-2,0,16
Man Utd,1,0,0,1,0,2,-2,0,17
Coventry City,1,0,0,1,0,3,-3,0,18
Spurs,1,0,0,1,0,3,-3,0,19
Aston Villa,1,0,0,1,0,4,-4,0,20
