team,clean_title_pct_mean,clean_title_pct_sd,clean_exp_points
Man City,47.25,0.14,82.1
Arsenal,37.66,0.426,80.7
Liverpool,13.18,0.437,75.3
Chelsea,1.34,0.058,65.8
Newcastle,0.31,0.063,61.4
Spurs,0.14,0.035,59.1
Aston Villa,0.07,0.04,57.8
Brighton,0.03,0.014,54.0
Man Utd,0.02,0.026,55.4
Leeds,0.0,0.0,40.8
Nott'm Forest,0.0,0.0,41.1
Hull City,0.0,0.0,32.0
Ipswich Town,0.0,0.0,37.9
Fulham,0.0,0.0,48.0
Everton,0.0,0.0,46.0
Crystal Palace,0.0,0.0,46.3
Coventry City,0.0,0.0,32.1
Brentford,0.0,0.005,49.3
Bournemouth,0.0,0.0,47.8
Sunderland,0.0,0.0,33.3
