team,preseason_baseline,contaminated_post_gw1,clean_post_gw1,delta_clean_vs_preseason,delta_clean_vs_contaminated,clean_exp_points
Man City,45.0,52.45,47.25,2.25,-5.2,82.1
Arsenal,37.5,23.73,37.66,0.16,13.93,80.7
Liverpool,15.53,22.38,13.18,-2.35,-9.2,75.3
Chelsea,0.94,0.66,1.34,0.4,0.68,65.8
Newcastle,0.5,0.34,0.31,-0.19,-0.03,61.4
Spurs,0.25,0.2,0.14,-0.11,-0.06,59.1
Aston Villa,0.17,0.1,0.07,-0.1,-0.03,57.8
Brighton,0.02,0.05,0.03,0.01,-0.02,54.0
Man Utd,0.09,0.06,0.02,-0.07,-0.04,55.4
Leeds,0.0,0.0,0.0,0.0,0.0,40.8
Nott'm Forest,0.0,0.0,0.0,0.0,0.0,41.1
Hull City,0.0,0.0,0.0,0.0,0.0,32.0
Ipswich Town,0.0,0.0,0.0,0.0,0.0,37.9
Fulham,0.0,0.0,0.0,0.0,0.0,48.0
Everton,0.0,0.0,0.0,0.0,0.0,46.0
Crystal Palace,0.0,0.0,0.0,0.0,0.0,46.3
Coventry City,0.0,0.0,0.0,0.0,0.0,32.1
Brentford,0.0,0.0,0.0,0.0,0.0,49.3
Bournemouth,0.0,0.0,0.0,0.0,0.0,47.8
Sunderland,0.0,0.0,0.0,0.0,0.0,33.3
