team_id,club_name,status
1,Arsenal,AUTHENTICATED_2026_27
2,Aston Villa,AUTHENTICATED_2026_27
3,Bournemouth,AUTHENTICATED_2026_27
4,Brentford,AUTHENTICATED_2026_27
5,Brighton,AUTHENTICATED_2026_27
6,Chelsea,AUTHENTICATED_2026_27
7,Coventry City,AUTHENTICATED_2026_27
8,Crystal Palace,AUTHENTICATED_2026_27
9,Everton,AUTHENTICATED_2026_27
10,Fulham,AUTHENTICATED_2026_27
11,Hull City,AUTHENTICATED_2026_27
12,Ipswich Town,AUTHENTICATED_2026_27
13,Leeds,AUTHENTICATED_2026_27
14,Liverpool,AUTHENTICATED_2026_27
15,Man City,AUTHENTICATED_2026_27
16,Man Utd,AUTHENTICATED_2026_27
17,Newcastle,AUTHENTICATED_2026_27
18,Nott'm Forest,AUTHENTICATED_2026_27
19,Spurs,AUTHENTICATED_2026_27
20,Sunderland,AUTHENTICATED_2026_27
