club,manager,appointed,cutoff_valid
Arsenal,Mikel Arteta,2019-12-20,True
Aston Villa,Unai Emery,2022-11-01,True
Bournemouth,Andoni Iraola,2023-06-19,True
Brentford,Thomas Frank,2018-10-16,True
Brighton,Fabian Hürzeler,2024-06-15,True
Chelsea,Liam Rosenior,2026-07-01,True
Coventry City,Mark Robins,2017-03-06,True
Crystal Palace,Oliver Glasner,2024-02-19,True
Everton,Sean Dyche,2023-01-30,True
Fulham,Marco Silva,2021-07-01,True
Hull City,Tim Walter,2024-05-31,True
Ipswich Town,Kieran McKenna,2021-12-16,True
Leeds,Daniel Farke,2023-07-04,True
Liverpool,Arne Slot,2024-06-01,True
Man City,Enzo Maresca,2026-06-29,True
Man Utd,Erik ten Hag,2022-05-23,True
Newcastle,Eddie Howe,2021-11-08,True
Nott'm Forest,Nuno Espírito Santo,2023-12-20,True
Spurs,Ange Postecoglou,2023-06-06,True
Sunderland,Régis Le Bris,2024-06-22,True
