artifact,path,size_bytes,sha256
C9 Model Artifact,reports\pl11_12_final_manifest.json,1417,2e1f294dbf47cd70088342ae16ad8a50b579ba728cf9b9f64c551c51f799ee5f
FPL Bridge Artifact,reports\phase10_6_final_manifest.json,1060,7d4bac2af06b06c13bf81d5036a403cb3173266f5dca0c16011440f47c71af5d
FPL Bootstrap Snapshot,data\live_snapshots\2026-27\GW02\bootstrap_predeadline.json,2382414,72d750dd999565a31a02b0e6d017ebeccc36089f604b63aaef388d44a9c2d229
GW1 State Snapshot,prospective\2026_27\manifests\snapshot_registry.csv,3542,13d60f5824db4315df42eb631c306572d6100e189946f630ebed499e8638e266
GW2 Input Snapshot,data\live_snapshots\2026-27\GW02\fixtures_predeadline.json,234572,600f30aa2941ac86f08049a8361f532d5ae9e776524d97f033a2d2de2d79fc20
GW2 PL Predictions V2,data\live_snapshots\2026-27\GW02\GW2_C9_PROSPECTIVE_V2_CORRECTED.json,2062,07db1a6ff58675a1f4c8fdf5549e2916c6b23ec5a3f93dada86c3e864a36af0f
GW2 FPL 15-Squad V2,data\live_snapshots\2026-27\GW02\GW2_C9_FPL_15_SQUAD_V2.json,2265,47822dcfa46e80a10d3e846c215bed304a132861b1cd0f7d6c6532c3deb6a3e7
GW2 FPL Starting XI V2,data\live_snapshots\2026-27\GW02\GW2_C9_FPL_XI_V2.json,1573,ca857786ed1ceed3db1483e597dddacb3bb72bae8603414318e42060577b3c66
GW2 FPL Captain Decision V2,data\live_snapshots\2026-27\GW02\GW2_C9_FPL_CAPTAIN_V2.json,1125,ae9d69b588396d1eed2eeb7e439b197481633855de13740367e40e40b3336752
GW2 Prospective Manifest V2,data\live_snapshots\2026-27\GW02\GW2_PROSPECTIVE_MANIFEST_V2.json,705,ea12513cf48aad344b4a2d7e83f9ecfd2d4cf83deaa7906411f23b2b970a3182
V1 Invalidation Audit,reports\dry_run\gw2_final_prospective_lock_v1\02_v1_v2_separation_proof.json,575,ed007f187b0f45dd590c5f24589de225436eb87f483e1cfb94f8dafca41643fc
V1 to V2 Correction Ledger,reports\dry_run\gw2_final_prospective_lock_v1\05_v1_to_v2_correction_ledger.csv,1266,f6b191f02a68b679a94f890c8879868bd8aefaf8e9835f00b53449ba535990b7
