team_id,club_name,status,effective_season
1,Arsenal,CONTINUOUS_MEMBER,2026-27
2,Aston Villa,CONTINUOUS_MEMBER,2026-27
3,Bournemouth,CONTINUOUS_MEMBER,2026-27
4,Brentford,CONTINUOUS_MEMBER,2026-27
5,Brighton,CONTINUOUS_MEMBER,2026-27
6,Chelsea,CONTINUOUS_MEMBER,2026-27
7,Coventry City,PROMOTED,2026-27
8,Crystal Palace,CONTINUOUS_MEMBER,2026-27
9,Everton,CONTINUOUS_MEMBER,2026-27
10,Fulham,CONTINUOUS_MEMBER,2026-27
11,Hull City,PROMOTED,2026-27
12,Ipswich Town,PROMOTED,2026-27
13,Leeds,PROMOTED,2026-27
14,Liverpool,CONTINUOUS_MEMBER,2026-27
15,Man City,CONTINUOUS_MEMBER,2026-27
16,Man Utd,CONTINUOUS_MEMBER,2026-27
17,Newcastle,CONTINUOUS_MEMBER,2026-27
18,Nott'm Forest,CONTINUOUS_MEMBER,2026-27
19,Spurs,CONTINUOUS_MEMBER,2026-27
20,Sunderland,PROMOTED,2026-27
