club,structural_strength,gw1_result,shrinkage_factor,post_gw1_attack,post_gw1_defense,delta
Arsenal,2.18,"3-0 vs Coventry (2.62 xG, 0.38 xGA)",0.08,2.24,0.72,+0.06
Manchester City,2.05,"2-1 vs Bournemouth (2.10 xG, 0.85 xGA)",0.08,2.07,0.88,+0.02
Liverpool,1.98,"2-2 vs Newcastle (1.85 xG, 1.72 xGA)",0.08,1.97,0.94,-0.01
Chelsea,1.82,"3-2 vs Fulham (2.15 xG, 1.40 xGA)",0.08,1.85,1.15,+0.03
Tottenham Hotspur,1.75,"0-3 vs Brentford (1.10 xG, 2.30 xGA)",0.08,1.7,1.22,-0.05
Manchester United,1.7,"0-2 vs Hull (1.05 xG, 1.65 xGA)",0.08,1.65,1.25,-0.05
Newcastle United,1.68,"2-2 vs Liverpool (1.72 xG, 1.85 xGA)",0.08,1.7,1.2,+0.02
Aston Villa,1.55,"0-4 vs Brighton (0.85 xG, 2.95 xGA)",0.08,1.48,1.25,-0.07
Brighton & Hove Albion,1.45,"4-0 vs Villa (2.95 xG, 0.85 xGA)",0.08,1.53,1.05,+0.08
Brentford,1.4,"3-0 vs Spurs (2.30 xG, 1.10 xGA)",0.08,1.46,1.1,+0.06
Fulham,1.35,"2-3 vs Chelsea (1.40 xG, 2.15 xGA)",0.08,1.36,1.22,+0.01
Everton,1.3,"2-0 vs Palace (1.80 xG, 0.90 xGA)",0.08,1.34,1.18,+0.04
Crystal Palace,1.3,"0-2 vs Everton (0.90 xG, 1.80 xGA)",0.08,1.26,1.24,-0.04
AFC Bournemouth,1.28,"1-2 vs City (0.85 xG, 2.10 xGA)",0.08,1.27,1.25,-0.01
Nottingham Forest,1.25,"0-1 vs Leeds (1.15 xG, 1.35 xGA)",0.08,1.22,1.28,-0.03
Leeds United,1.2,"1-0 vs Forest (1.35 xG, 1.15 xGA)",0.08,1.24,1.28,+0.04
Ipswich Town,1.15,"2-1 vs Sunderland (1.45 xG, 1.20 xGA)",0.08,1.18,1.35,+0.03
Hull City,1.12,"2-0 vs Man Utd (1.65 xG, 1.05 xGA)",0.08,1.17,1.32,+0.05
Sunderland,1.1,"1-2 vs Ipswich (1.20 xG, 1.45 xGA)",0.08,1.09,1.38,-0.01
Coventry City,1.08,"0-3 vs Arsenal (0.38 xG, 2.62 xGA)",0.08,1.05,1.42,-0.03
