step,value,notes
Prior Attack Rating,0.42,Certified 4-season Bayesian prior
GW1 Observed Goals,3.0,3-0 win vs Bournemouth
Bournemouth Defensive Rating,0.12,Mid-table defence
Expected Goals (xG),2.85,City overperformed xG by +0.15
Attack Update Delta,0.006,Upward update to 0.426
Prior Defence Rating,-0.38,Top tier defence
GW1 Observed Goals Conceded,0.0,Clean sheet recorded
Defence Update Delta,-0.004,Solidifies -0.384 rating
Expected Fixture Points (Bournemouth H),2.6,Model expected 2.60 pts
Actual Points Gained,3.0,Net schedule overperformance: +0.40 pts (+3 GD)
