step_id,step_description,city_title_pct,arsenal_title_pct,liverpool_title_pct,arsenal_delta,city_delta,liverpool_delta
B0,Preseason Full-Season Baseline (0/380 matches),45.0,37.5,15.53,0.0,0.0,0.0
B1,"+ Table Points (All 3 contenders won, +3 pts each)",45.2,36.8,16.1,-0.7,0.2,0.57
B2,"+ Goal Difference Ledger (City +3, Arsenal +2, Liverpool +1)",46.8,34.5,16.8,-2.3,1.6,0.7
B3,+ Schedule Difficulty Consumed (Liverpool cleared Newcastle away),48.5,29.2,20.4,-5.3,1.7,3.6
B4,+ Dynamic Elo & Micro-State Update,49.8,27.4,21.1,-1.8,1.3,0.7
B5,+ Opponent Strength & Venue Normalization,50.4,26.2,21.7,-1.2,0.6,0.6
B6,+ DefCon & Tactical Matchup Interaction,50.9,25.4,22.0,-0.8,0.5,0.3
B7,+ European Workload & Fatigue Projections,51.4,24.8,22.1,-0.6,0.5,0.1
B8,+ Dixon-Coles Score Copula & Draw Compression,52.0,24.1,22.25,-0.7,0.6,0.15
B9,+ Dirichlet Calibration & Monte Carlo Tiebreaks,52.45,23.73,22.38,-0.37,0.45,0.13
