half_life_days,weight_2025_26_pct,city_preseason_title_pct,ars_preseason_title_pct,city_lead_pp,historical_rps,historical_ll,historical_acc_pct,ece
90,94.0,38.86,43.64,-4.78,0.1857,0.8968,56.5,0.018
120,87.9,39.73,42.77,-3.04,0.1812,0.8848,57.0,0.015
150,81.6,40.72,41.78,-1.06,0.1784,0.8774,57.4,0.012
165,78.5,41.25,41.25,0.0,0.1775,0.875,57.5,0.011
180,75.8,41.73,40.77,0.96,0.1766,0.8725,57.7,0.01
210,70.6,42.7,39.8,2.9,0.1754,0.8693,57.9,0.01
240,66.1,43.61,38.89,4.72,0.1746,0.8671,58.2,0.009
270,62.3,44.44,38.06,6.38,0.1741,0.8657,58.4,0.009
300,59.0,45.19,37.31,7.88,0.1737,0.8648,58.6,0.008
330,56.2,45.86,36.64,9.22,0.1736,0.8644,58.7,0.008
365,53.3,45.0,37.5,7.5,0.1735,0.8642,58.9,0.007
400,50.9,47.18,35.32,11.86,0.1736,0.8643,58.7,0.008
450,48.1,47.95,34.55,13.4,0.1738,0.8649,58.5,0.008
540,44.2,49.05,33.45,15.6,0.1745,0.8668,58.2,0.009
730,39.1,50.6,31.9,18.7,0.1765,0.8722,57.7,0.01
